subject,regime,channel,perplexity_real,perplexity_aaft,delta
4,rest,P4,4.0140922037513525,3.8196138887092648,-0.19447831504208768
4,rest,O1,4.181814491469104,3.9774544759167054,-0.20436001555239836
4,rest,O2,3.5353028838346936,3.767382922423286,0.2320800385885926
4,rest,Fz,3.928330683287189,3.767069866421504,-0.16126081686568483
4,rest,Cz,3.9979156237454414,3.960604970372021,-0.03731065337342043
4,rest,Pz,3.838869408666184,3.900084163804887,0.061214755138703225
4,arithmetic,Fp1,4.664737816521281,4.994474586775648,0.32973677025436654
4,arithmetic,Fp2,3.3150635296122672,3.4507366416417966,0.13567311202952936
4,arithmetic,F3,4.3600957823224284,4.3867901980519175,0.02669441572948905
4,arithmetic,F4,4.190822472310139,4.179016586250372,-0.011805886059767623
4,arithmetic,F7,4.650236233039177,4.2875181218366905,-0.3627181112024864
4,arithmetic,F8,3.46728355520342,3.768266318760548,0.30098276355712805
4,arithmetic,T3,4.688300647557373,4.772997752125142,0.08469710456776891
4,arithmetic,T4,4.477955650551416,4.310168731152324,-0.1677869193990924
4,arithmetic,C3,4.540263041548343,4.688748252630894,0.14848521108255142
4,arithmetic,C4,4.574799221898136,4.459447589116292,-0.11535163278184424
4,arithmetic,T5,4.388644681866192,4.297644858351649,-0.09099982351454283
4,arithmetic,T6,4.375771555735261,4.56219123432613,0.1864196785908696
4,arithmetic,P3,4.356034384177474,4.146548660454974,-0.20948572372249963
4,arithmetic,P4,4.633392270536604,4.452364851877483,-0.18102741865912098
4,arithmetic,O1,4.679849149666871,4.623101768980608,-0.056747380686262616
4,arithmetic,O2,4.57714023940822,4.789604129755399,0.21246389034717872
4,arithmetic,Fz,4.1127951846062,4.519285128905829,0.40648994429962926
4,arithmetic,Cz,4.260069099400306,4.594863295425488,0.33479419602518146
4,arithmetic,Pz,4.802029889583476,4.571581234158146,-0.23044865542533
5,rest,Fp1,3.212375664844032,3.363639090528176,0.15126342568414408
5,rest,Fp2,4.815955705855584,4.883464567015637,0.06750886116005272
5,rest,F3,3.7132615806147538,3.802159748168856,0.08889816755410207
5,rest,F4,3.9923305727297302,3.885962237188759,-0.10636833554097125
5,rest,F7,3.165519968349208,3.226616411383806,0.061096443034597936
5,rest,F8,3.722887071590392,3.6397576209999696,-0.08312945059042232
5,rest,T3,3.762202320320773,3.673478162613144,-0.08872415770762876
5,rest,T4,3.997170985857055,3.92586354874035,-0.07130743711670506
5,rest,C3,4.037841148394556,3.937742812593626,-0.10009833580093064
5,rest,C4,4.038343008916301,3.92446371535415,-0.11387929356215087
5,rest,T5,4.677595371833964,4.669352598638251,-0.008242773195712871
5,rest,T6,3.745593787014222,4.101372479460843,0.35577869244662086
5,rest,P3,3.70364788876536,3.7804601832046743,0.07681229443931414
5,rest,P4,3.526989457852136,3.6648291279642047,0.13783967011206855
5,rest,O1,3.294464555028228,3.507021392517145,0.21255683748891707
5,rest,O2,3.147968076175357,3.397892619643199,0.24992454346784232
5,rest,Fz,3.6449599664467858,3.6747733117682952,0.029813345321509477
5,rest,Cz,3.8540411895277074,3.845472267774648,-0.008568921753059566
5,rest,Pz,3.5701534182864822,3.591861540789505,0.021708122503022675
5,arithmetic,Fp1,3.5521759157774064,3.574429622650654,0.02225370687324757
5,arithmetic,Fp2,3.5910232726748137,3.84555482847154,0.2545315557967265
5,arithmetic,F3,4.161172088205865,4.2479503289969385,0.0867782407910731
5,arithmetic,F4,4.354020454542397,4.519612155609064,0.16559170106666699
5,arithmetic,F7,3.4745922957485464,3.62596475033372,0.15137245458517334
5,arithmetic,F8,4.497148810475179,4.188959722627408,-0.30818908784777044
5,arithmetic,T3,4.790301389437973,4.282486180976094,-0.5078152084618788
5,arithmetic,T4,4.870093918385336,5.060359218439564,0.1902653000542287
5,arithmetic,C3,4.23137120681354,4.756392497551864,0.5250212907383238
5,arithmetic,C4,4.30069654190409,4.755097374688341,0.45440083278425103
5,arithmetic,T5,4.517345090017228,3.993065976687687,-0.5242791133295412
5,arithmetic,T6,4.354121407904299,4.766238903782553,0.4121174958782543
5,arithmetic,P3,4.043210077686381,4.844538328019459,0.8013282503330776
5,arithmetic,P4,4.109140984711527,4.387494590454014,0.27835360574248735
5,arithmetic,O1,3.4990292927127364,3.854791535855092,0.3557622431423555
5,arithmetic,O2,3.483088321150254,3.6861606925731545,0.20307237142290058
5,arithmetic,Fz,4.5129107556069625,4.714057325761626,0.20114657015466353
5,arithmetic,Cz,5.057452967395021,4.968729326580544,-0.08872364081447692
5,arithmetic,Pz,3.9732867289110056,4.006994688319045,0.03370795940803939
6,rest,Fp1,3.688287338545477,3.855237069927448,0.16694973138197122
6,rest,Fp2,3.763739312076505,3.912887867662648,0.14914855558614315
6,rest,F3,3.710203482942154,3.8226623194720513,0.11245883652989708
6,rest,F4,3.920484716441822,4.13868346797454,0.2181987515327184
6,rest,F7,3.379573110907636,3.58790414723209,0.20833103632445393
6,rest,F8,3.782135612581938,3.984176063041697,0.20204045045975905
6,rest,T3,3.780041990182366,3.8331000438612657,0.0530580536788996
6,rest,T4,3.8701710989000615,4.013526163933406,0.1433550650333446
6,rest,C3,3.917649228682752,4.0537252530516765,0.13607602436892474
6,rest,C4,3.5480600028880724,3.906091602731092,0.3580315998430197
6,rest,T5,4.132279467024228,4.347685141569983,0.21540567454575488
6,rest,T6,3.928966593242538,4.1281116645342015,0.19914507129166337
6,rest,P3,4.174384979888595,4.294571630209043,0.12018665032044762
6,rest,P4,3.679377791928861,3.965724087274604,0.28634629534574296
6,rest,O1,4.872246625110274,4.845279296296363,-0.026967328813911173
6,rest,O2,4.331495749820508,4.245087227158285,-0.08640852266222332
6,rest,Fz,4.054899924964327,3.967665940698154,-0.08723398426617335
6,rest,Cz,3.8910587354867,4.012222257313452,0.12116352182675172
6,rest,Pz,3.869837476177603,4.041171610375023,0.17133413419741972
6,arithmetic,Fp1,3.8740688367889455,4.157774064380974,0.28370522759202865
6,arithmetic,Fp2,5.4516414903036745,5.042287663722229,-0.40935382658144537
6,arithmetic,F3,6.440691595293626,5.4065609097231615,-1.0341306855704646
6,arithmetic,F4,5.130964913677103,5.136735792608151,0.005770878931047996
6,arithmetic,F7,4.628276413878623,4.767994727866528,0.13971831398790435
6,arithmetic,F8,5.077139620840171,4.81521227989735,-0.26192734094282155
6,arithmetic,T3,5.993487240047755,5.613481828524607,-0.3800054115231477
6,arithmetic,T4,5.303381451459068,5.146433498969989,-0.15694795248907933
6,arithmetic,C3,4.915607045414099,5.039781244971355,0.12417419955725606
6,arithmetic,C4,4.591943675564796,4.816697661750012,0.22475398618521591
6,arithmetic,T5,5.827699450241513,6.168224184020726,0.3405247337792128
6,arithmetic,T6,4.976908771545157,5.183530269254762,0.20662149770960436
6,arithmetic,P3,5.735760640694602,5.310550970495684,-0.4252096701989183
6,arithmetic,P4,4.8242938917201394,5.181066722647649,0.35677283092750933
6,arithmetic,O1,6.489235173973278,6.259357663993391,-0.22987750997988687
6,arithmetic,O2,5.398158006410101,5.419622838864279,0.021464832454177518
6,arithmetic,Fz,5.357168530873224,4.916197990544123,-0.44097054032910155
6,arithmetic,Cz,4.66028485646159,5.155690858836157,0.49540600237456633
6,arithmetic,Pz,5.370441609173954,5.500215166267928,0.12977355709397376
7,rest,Fp1,4.361481662688132,4.4336768505891895,0.07219518790105717
7,rest,Fp2,3.877622453403621,4.260908281817686,0.3832858284140652
7,rest,F3,4.225994080537954,4.18860466909896,-0.0373894114389941
7,rest,F4,4.576446213912745,4.401190306607562,-0.17525590730518292
