subject,regime,channel,condition,rep,K,sfreq,n_samples,val_loss,perplexity,wall_seconds
27,arithmetic,Fp2,real,0,7,100.0,6200,1.7818592872773509,5.940891981148165,39.19391059875488
27,arithmetic,F3,real,0,7,100.0,6200,1.6866119232748282,5.401150158874988,39.6263906955719
27,arithmetic,F4,real,0,7,100.0,6200,1.6336088871365724,5.122327302975135,39.88282656669617
27,arithmetic,F7,real,0,7,100.0,6200,1.820006291190506,6.171897278342976,39.49301314353943
27,arithmetic,F8,real,0,7,100.0,6200,1.9748095397633068,7.205247210037575,40.239776611328125
27,arithmetic,T3,real,0,7,100.0,6200,1.8025355192096157,6.065005924377392,39.12006950378418
27,arithmetic,T4,real,0,7,100.0,6200,2.082597106385992,8.025284389932532,39.31059455871582
27,arithmetic,C3,real,0,7,100.0,6200,1.597976401437706,4.943019609477881,39.66753077507019
27,arithmetic,C4,real,0,7,100.0,6200,1.7617229745162388,5.822460708388025,39.83836913108826
27,arithmetic,T5,real,0,7,100.0,6200,1.4975110796355693,4.47054837304916,39.40611553192139
27,arithmetic,T6,real,0,7,100.0,6200,1.614723319893118,5.026496999330086,39.54330778121948
27,arithmetic,P3,real,0,7,100.0,6200,1.6323815666850285,5.116044422259358,40.28201985359192
27,arithmetic,P4,real,0,7,100.0,6200,1.509908910656293,4.5263184761562405,42.58586502075195
27,arithmetic,O1,real,0,7,100.0,6200,1.615321744409575,5.029505878570142,45.41321420669556
27,arithmetic,O2,real,0,7,100.0,6200,1.637483167163444,5.14221112621435,45.90062499046326
27,arithmetic,Fz,real,0,7,100.0,6200,1.6498285815934302,5.206087331492112,45.460726261138916
27,arithmetic,Cz,real,0,7,100.0,6200,1.5120010299766546,4.53579798716676,44.97937870025635
27,arithmetic,Pz,real,0,7,100.0,6200,1.6279715393132188,5.09353220255977,44.87218356132507
28,rest,Fp1,real,0,7,100.0,18200,1.416965469370771,4.124585250386495,133.63726472854614
28,rest,Fp2,real,0,7,100.0,18200,1.4831814816103233,4.406944012727974,133.43038487434387
28,rest,F3,real,0,7,100.0,18200,1.4352962841005241,4.200889481181461,117.60986065864563
28,rest,F4,real,0,7,100.0,18200,1.5109269484576724,4.53092878580262,117.37546110153198
28,rest,F7,real,0,7,100.0,18200,1.393933346756718,4.03067294849626,116.99017548561096
28,rest,F8,real,0,7,100.0,18200,1.4351519291885801,4.200283105917996,117.48548030853271
28,rest,T3,real,0,7,100.0,18200,1.4458742514054272,4.24556220954713,121.29736661911011
28,rest,T4,real,0,7,100.0,18200,1.3982415055611037,4.048075186533642,133.96886801719666
28,rest,C3,real,0,7,100.0,18200,1.526248304454043,4.600883289204845,133.09758830070496
28,rest,C4,real,0,7,100.0,18200,1.4919893245307339,4.445931127497343,133.4765658378601
28,rest,T5,real,0,7,100.0,18200,1.5067809032895532,4.51218223927142,125.53999781608582
28,rest,T6,real,0,7,100.0,18200,1.399800442691303,4.054390802793049,117.01314163208008
28,rest,P3,real,0,7,100.0,18200,1.4459116863131307,4.245721144751438,117.33735132217407
28,rest,P4,real,0,7,100.0,18200,1.4333751514550752,4.192826762515051,116.54578876495361
28,rest,O1,real,0,7,100.0,18200,1.397788268504834,4.046240864575282,117.30433940887451
28,rest,O2,real,0,7,100.0,18200,1.3496126197085616,3.8559315294626906,128.57092690467834
28,rest,Fz,real,0,7,100.0,18200,1.4087990259540024,4.091039220632581,132.91348505020142
28,rest,Cz,real,0,7,100.0,18200,1.5030220009147814,4.495253223927798,134.16743326187134
28,rest,Pz,real,0,7,100.0,18200,1.402591454062079,4.065722459660906,133.2381763458252
28,arithmetic,Fp1,real,0,7,100.0,6200,1.8456578036995446,6.332263807257981,42.21629047393799
28,arithmetic,Fp2,real,0,7,100.0,6200,1.4893048743765238,4.434012251967707,39.76248216629028
28,arithmetic,F3,real,0,7,100.0,6200,1.5085429680244982,4.520140005463486,39.85492157936096
28,arithmetic,F4,real,0,7,100.0,6200,1.4420927140693638,4.229537775133473,39.66649127006531
28,arithmetic,F7,real,0,7,100.0,6200,1.7335815804738228,5.660892585917729,40.0769259929657
28,arithmetic,F8,real,0,7,100.0,6200,1.5116603896705298,4.534253174679529,39.51057291030884
28,arithmetic,T3,real,0,7,100.0,6200,1.5448737566156745,4.687379838973645,39.48938226699829
28,arithmetic,T4,real,0,7,100.0,6200,1.6254732331702666,5.080822882265742,39.454838275909424
28,arithmetic,C3,real,0,7,100.0,6200,1.7275057646008165,5.626602321043533,40.45706653594971
28,arithmetic,C4,real,0,7,100.0,6200,1.6921804127640774,5.431310302050715,39.43508315086365
28,arithmetic,T5,real,0,7,100.0,6200,1.6694711253251402,5.309359068962713,39.67150855064392
28,arithmetic,T6,real,0,7,100.0,6200,1.7787956289419107,5.922718970072927,39.52720642089844
28,arithmetic,P3,real,0,7,100.0,6200,1.6684236496101117,5.30380055598752,39.79295516014099
28,arithmetic,P4,real,0,7,100.0,6200,1.5626258214008477,4.77133348006401,39.31226563453674
28,arithmetic,O1,real,0,7,100.0,6200,1.581937923994206,4.864373468999941,43.86523222923279
28,arithmetic,O2,real,0,7,100.0,6200,1.4882399724196853,4.42929297687256,45.22729563713074
28,arithmetic,Fz,real,0,7,100.0,6200,1.477701560722433,4.38286035671407,44.62638568878174
28,arithmetic,Cz,real,0,7,100.0,6200,1.5781975146875182,4.84621270672083,44.99040675163269
28,arithmetic,Pz,real,0,7,100.0,6200,1.6347933570390119,5.128398140148144,44.83586025238037
29,rest,Fp1,real,0,7,100.0,18200,1.3585939581584467,3.8907189404825218,132.1114161014557
29,rest,Fp2,real,0,7,100.0,18200,1.358618903209646,3.8908159958762147,132.12697911262512
29,rest,F3,real,0,7,100.0,18200,1.409365081502878,4.093355631630885,120.69727420806885
29,rest,F4,real,0,7,100.0,18200,1.435393219290795,4.201296714939948,116.74404501914978
29,rest,F7,real,0,7,100.0,18200,1.4257767088261735,4.161088542134395,116.41091966629028
29,rest,F8,real,0,7,100.0,18200,1.473859261881024,4.366052408701335,117.07647109031677
29,rest,T3,real,0,7,100.0,18200,1.4606667612017363,4.30883153245901,119.13728260993958
29,rest,T4,real,0,7,100.0,18200,1.4778349446214778,4.383444998707464,133.28892064094543
29,rest,C3,real,0,7,100.0,18200,1.4509658962878835,4.267234230942635,134.15458726882935
29,rest,C4,real,0,7,100.0,18200,1.4458980272926758,4.245663152755533,133.23524570465088
29,rest,T5,real,0,7,100.0,18200,1.3801503903688999,3.975499459369799,129.72013783454895
29,rest,T6,real,0,7,100.0,18200,1.3256451387212502,3.764613269535572,117.10969591140747
29,rest,P3,real,0,7,100.0,18200,1.3329384018636328,3.7921699516578644,116.99400925636292
29,rest,P4,real,0,7,100.0,18200,1.2891137000157973,3.6295682434915593,117.51246309280396
29,rest,O1,real,0,7,100.0,18200,1.2148844587576133,3.3699046788536804,116.20550870895386
29,rest,O2,real,0,7,100.0,18200,1.1858979755337071,3.2736251372804577,126.72844076156616
29,rest,Fz,real,0,7,100.0,18200,1.421973992449077,4.145295150515042,133.5257124900818
29,rest,Cz,real,0,7,100.0,18200,1.430553311470578,4.181011953898092,133.06728672981262
29,rest,Pz,real,0,7,100.0,18200,1.3013952642382967,3.674419879325174,132.67792177200317
29,arithmetic,Fp1,real,0,7,100.0,6200,1.5537861072073909,4.729342125002508,44.71453094482422
29,arithmetic,Fp2,real,0,7,100.0,6200,1.5996869691823585,4.951482215249778,39.51348686218262
29,arithmetic,F3,real,0,7,100.0,6200,1.556598889505698,4.742663461040536,39.66878652572632
29,arithmetic,F4,real,0,7,100.0,6200,1.6745708620333033,5.336504560902621,39.56392955780029
29,arithmetic,F7,real,0,7,100.0,6200,1.5805295530020202,4.8575274485109725,40.49561953544617
29,arithmetic,F8,real,0,7,100.0,6200,1.5526219487988004,4.723839625112788,39.66642904281616
29,arithmetic,T3,real,0,7,100.0,6200,1.548405122343953,4.703961953014705,39.41136455535889
29,arithmetic,T4,real,0,7,100.0,6200,1.6293044601290405,5.100326004452734,40.016791343688965
29,arithmetic,C3,real,0,7,100.0,6200,1.5291295946351464,4.614158885288441,39.76929330825806
29,arithmetic,C4,real,0,7,100.0,6200,1.4942740270976518,4.456100370180601,39.43924403190613
29,arithmetic,T5,real,0,7,100.0,6200,1.632936193289727,5.118882703627184,39.44736838340759
29,arithmetic,T6,real,0,7,100.0,6200,1.5039645249974778,4.499492105659424,39.69855880737305
29,arithmetic,P3,real,0,7,100.0,6200,1.5071928135002544,4.514041236051913,39.73072123527527
29,arithmetic,P4,real,0,7,100.0,6200,1.3887950051606694,4.010015093035593,39.72362780570984
29,arithmetic,O1,real,0,7,100.0,6200,1.3425846976474856,3.828927345997566,40.84898328781128
29,arithmetic,O2,real,0,7,100.0,6200,1.4164324532595192,4.12238736580179,45.34253907203674
29,arithmetic,Fz,real,0,7,100.0,6200,1.519633594376589,4.570550212999335,45.304089069366455
29,arithmetic,Cz,real,0,7,100.0,6200,1.5770128375245127,4.84047490859038,45.67027521133423
29,arithmetic,Pz,real,0,7,100.0,6200,1.3927771424963247,4.026015360341448,44.9214301109314
