regime,prompt,layer,t,F
philosophical,3,0,64,82.23789953416393
philosophical,3,0,65,82.07498415054813
philosophical,3,0,66,81.89248608004662
philosophical,3,0,67,81.7568622712166
philosophical,3,0,68,81.61981521114227
philosophical,3,0,69,81.47705398067352
philosophical,3,0,70,81.3243393436555
philosophical,3,0,71,81.20152996432397
philosophical,3,0,72,81.05491958125945
philosophical,3,0,73,80.92848057900706
philosophical,3,0,74,80.7971449821226
philosophical,3,0,75,80.69034034975114
philosophical,3,0,76,80.5879423079952
philosophical,3,0,77,80.48816459409652
philosophical,3,0,78,80.36270683042464
philosophical,3,0,79,80.22853260655558
philosophical,3,0,80,80.09542477515436
philosophical,3,0,81,80.00212860107422
philosophical,3,0,82,79.91342335362589
philosophical,3,0,83,79.82470973845452
philosophical,3,0,84,79.71407121227634
philosophical,3,0,85,79.6045879240959
philosophical,3,0,86,79.49612475979713
philosophical,3,0,87,79.40120130969632
philosophical,3,0,88,79.30092940791961
philosophical,3,0,89,79.2277339812248
philosophical,3,0,90,79.170412125126
philosophical,3,0,91,79.12996501307333
philosophical,3,0,92,79.0976055514428
philosophical,3,0,93,79.05652027745401
philosophical,3,0,94,79.01096910045993
philosophical,3,0,95,78.98067646641886
philosophical,3,0,96,78.93255590623424
philosophical,3,0,97,78.90611193256993
philosophical,3,0,98,78.87046838575795
philosophical,3,0,99,78.83809834141886
philosophical,3,0,100,78.81465764199534
philosophical,3,0,101,78.7824204967868
philosophical,3,0,102,78.72365004016507
philosophical,3,0,103,78.6878900835591
philosophical,3,0,104,78.68060302734375
philosophical,3,0,105,78.66628068493259
philosophical,3,0,106,78.6223895165228
philosophical,3,0,107,78.59365820115612
philosophical,3,0,108,78.5763421827747
philosophical,3,0,109,78.56595488517515
philosophical,3,0,110,78.54364382836127
philosophical,3,0,111,78.52423464867377
philosophical,3,0,112,78.49908594931325
philosophical,3,0,113,78.46782758159023
philosophical,3,0,114,78.44355798536732
philosophical,3,0,115,78.43466112690587
philosophical,3,0,116,78.42257444320187
philosophical,3,0,117,78.41541142617503
philosophical,3,0,118,78.40546540291079
philosophical,3,0,119,78.39485168457031
philosophical,3,0,120,78.39625450872606
philosophical,3,0,121,78.38411392704133
philosophical,3,0,122,78.37103271484375
philosophical,3,0,123,78.35952808010963
philosophical,3,0,124,78.34582544142201
philosophical,3,0,125,78.32273274083292
philosophical,3,0,126,78.30224978539252
philosophical,3,1,0,61.97993850708008
philosophical,3,1,1,57.387149810791016
philosophical,3,1,2,52.8608283996582
philosophical,3,1,3,66.24761867523193
philosophical,3,1,4,71.27453689575195
philosophical,3,1,5,74.88934008280437
philosophical,3,1,6,75.16560527256557
philosophical,3,1,7,74.60198259353638
philosophical,3,1,8,81.08237245347765
philosophical,3,1,9,83.71398582458497
philosophical,3,1,10,85.60909167203036
philosophical,3,1,11,87.76541169484456
philosophical,3,1,12,89.27095589270958
philosophical,3,1,13,90.71811103820801
philosophical,3,1,14,91.78093338012695
philosophical,3,1,15,92.84533953666687
philosophical,3,1,16,93.69584005019244
philosophical,3,1,17,94.53062926398383
philosophical,3,1,18,95.20373796161853
philosophical,3,1,19,95.86342754364014
philosophical,3,1,20,96.40645980834961
philosophical,3,1,21,96.97029616615988
philosophical,3,1,22,97.39815073427947
philosophical,3,1,23,97.84170929590861
philosophical,3,1,24,98.1898030090332
philosophical,3,1,25,98.51615392244778
philosophical,3,1,26,98.78564241197374
philosophical,3,1,27,99.08695752280099
philosophical,3,1,28,99.31028787020979
philosophical,3,1,29,99.53033409118652
philosophical,3,1,30,99.66542877689484
philosophical,3,1,31,101.05620944115424
philosophical,3,1,32,102.72446798509166
philosophical,3,1,33,104.68633787093624
philosophical,3,1,34,104.60179482736895
philosophical,3,1,35,105.00223861202117
philosophical,3,1,36,105.28737320438508
philosophical,3,1,37,106.1173819265058
philosophical,3,1,38,107.13791041220388
philosophical,3,1,39,106.1546143562563
philosophical,3,1,40,105.9728041618101
philosophical,3,1,41,105.9237530616022
philosophical,3,1,42,105.62557294291835
philosophical,3,1,43,105.45863046953755
philosophical,3,1,44,105.18463208598476
philosophical,3,1,45,104.9994615124118
philosophical,3,1,46,104.74124957669166
