regime,prompt,layer,t,F
mathematical,0,22,42,33488.37446446573
mathematical,0,22,43,33432.65120967742
mathematical,0,22,44,34629.590788810485
mathematical,0,22,45,35379.3828125
mathematical,0,22,46,34752.32258064516
mathematical,0,22,47,35482.44865171371
mathematical,0,22,48,35948.56653225807
mathematical,0,22,49,35479.63054435484
mathematical,0,22,50,34629.98798985635
mathematical,0,22,51,33615.42301694809
mathematical,0,22,52,32427.702081495714
mathematical,0,22,53,31297.688039472025
mathematical,0,22,54,30968.7635734312
mathematical,0,22,55,29961.292809271043
mathematical,0,22,56,29048.38861280872
mathematical,0,22,57,27978.398405997985
mathematical,0,22,58,27341.0315763412
mathematical,0,22,59,26706.94859756962
mathematical,0,22,60,25731.936337378716
mathematical,0,22,61,24497.321809337984
mathematical,0,22,62,23676.85025049025
mathematical,0,22,63,23081.15881839875
mathematical,0,22,64,22523.058504658362
mathematical,0,22,65,20984.783677624117
mathematical,0,22,66,19297.42138228878
mathematical,0,22,67,17401.092345945297
mathematical,0,22,68,15617.7475288145
mathematical,0,22,69,13786.78075679656
mathematical,0,22,70,11874.874226600894
mathematical,0,22,71,10020.715073493218
mathematical,0,22,72,8222.644940653156
mathematical,0,22,73,6477.63937722483
mathematical,0,22,74,6250.597788903021
mathematical,0,22,75,4878.929450004332
mathematical,0,22,76,3427.5048422044324
mathematical,0,22,77,3217.76428228809
mathematical,0,22,78,1927.1399598890735
mathematical,0,22,79,615.8917995575936
mathematical,0,22,80,419.2550116508238
mathematical,0,22,81,334.28360133017264
mathematical,0,22,82,279.2646432076731
mathematical,0,22,83,224.52012554291755
mathematical,0,22,84,156.48229248292984
mathematical,0,22,85,105.28030586242676
mathematical,0,22,86,82.29591695723995
mathematical,0,22,87,70.73910485544512
mathematical,0,22,88,65.32731320781093
mathematical,0,22,89,59.94801041387743
mathematical,0,22,90,55.39817791600381
mathematical,0,22,91,49.92655114204653
mathematical,0,22,92,45.6042410942816
mathematical,0,22,93,42.652731926210464
mathematical,0,22,94,40.45861631824124
mathematical,0,22,95,37.460392428982644
mathematical,0,22,96,36.06182756731587
mathematical,0,22,97,33.89374246904927
mathematical,0,22,98,32.129686417118194
mathematical,0,22,99,31.20341823947045
mathematical,0,22,100,30.303992548296527
mathematical,0,22,101,30.2465151509931
mathematical,0,22,102,29.626054517684445
mathematical,0,22,103,28.79687253890499
mathematical,0,22,104,27.997913360595703
mathematical,0,22,105,26.516366835563414
mathematical,0,22,106,26.281564835579164
mathematical,0,22,107,25.64038141312138
mathematical,0,22,108,25.206605388272195
mathematical,0,22,109,24.731917627396122
mathematical,0,22,110,24.345695587896532
mathematical,0,22,111,24.333562943243212
mathematical,0,22,112,24.12050656349428
mathematical,0,22,113,24.3831274893976
mathematical,0,22,114,24.919236183166504
mathematical,0,22,115,24.42114765413346
mathematical,0,22,116,24.250635731604792
mathematical,0,22,117,24.241027616685436
mathematical,0,22,118,24.293654626415623
mathematical,0,22,119,24.068491997257357
mathematical,0,22,120,23.635555913371423
mathematical,0,22,121,23.4118557899229
mathematical,0,22,122,23.280485983817808
mathematical,0,22,123,23.03919013853996
mathematical,0,22,124,22.44036622201243
mathematical,0,22,125,22.140264172707834
mathematical,0,22,126,21.879718072952762
mathematical,0,23,0,18385.845703125
mathematical,0,23,1,26531.9326171875
mathematical,0,23,2,30502.219401041668
mathematical,0,23,3,35159.21630859375
mathematical,0,23,4,37046.507421875
mathematical,0,23,5,37754.056315104164
mathematical,0,23,6,36102.58286830357
mathematical,0,23,7,34106.583740234375
mathematical,0,23,8,33312.681640625
mathematical,0,23,9,32734.0029296875
mathematical,0,23,10,31953.73064630682
mathematical,0,23,11,30606.19580078125
mathematical,0,23,12,29013.00300480769
mathematical,0,23,13,27373.127476283484
mathematical,0,23,14,27300.096451822916
mathematical,0,23,15,27576.960906982422
mathematical,0,23,16,27062.870490579044
mathematical,0,23,17,27079.986300998266
mathematical,0,23,18,26752.75161903783
mathematical,0,23,19,27234.135131835938
mathematical,0,23,20,27795.80299014137
mathematical,0,23,21,28559.853848544033
mathematical,0,23,22,29268.925420346466
mathematical,0,23,23,28726.674458821613
mathematical,0,23,24,29223.23076171875
mathematical,0,23,25,29327.644136868992
mathematical,0,23,26,29566.6369176794
mathematical,0,23,27,29355.373657226562
mathematical,0,23,28,29140.64114695582
mathematical,0,23,29,29297.837353515624
mathematical,0,23,30,29897.85343686996
mathematical,0,23,31,30310.541440902216
mathematical,0,23,32,29853.842978200606
mathematical,0,23,33,29253.069162676413
mathematical,0,23,34,29717.850538684477
mathematical,0,23,35,30279.576597152216
mathematical,0,23,36,31137.3294953377
mathematical,0,23,37,32329.959031628023
mathematical,0,23,38,33713.817524571576
mathematical,0,23,39,35006.159384450606
mathematical,0,23,40,36166.78526650705
mathematical,0,23,41,37405.415810861894
mathematical,0,23,42,38892.26976751512
mathematical,0,23,43,38873.960354712704
mathematical,0,23,44,40322.36057207661
mathematical,0,23,45,41173.4787046371
mathematical,0,23,46,40440.00475680443
mathematical,0,23,47,41360.94773815524
mathematical,0,23,48,41952.416299143144
mathematical,0,23,49,41544.16163684476
mathematical,0,23,50,40487.8712906376
mathematical,0,23,51,39301.179971018144
mathematical,0,23,52,37935.42287518901
mathematical,0,23,53,36571.241982736894
mathematical,0,23,54,36110.6886655746
mathematical,0,23,55,34813.183975711945
mathematical,0,23,56,33798.43098991148
mathematical,0,23,57,32652.70932991274
mathematical,0,23,58,31898.0203394736
mathematical,0,23,59,31158.32345384167
mathematical,0,23,60,30073.788783904045
mathematical,0,23,61,28534.63930437642
mathematical,0,23,62,27534.127547725555
mathematical,0,23,63,26876.36143592096
mathematical,0,23,64,26241.903456657164
mathematical,0,23,65,24195.069008857972
mathematical,0,23,66,22198.60647952172
mathematical,0,23,67,20012.572015331636
mathematical,0,23,68,17977.681954660722
mathematical,0,23,69,15946.406410217285
mathematical,0,23,70,13785.501626414638
mathematical,0,23,71,11738.963756192115
mathematical,0,23,72,9723.502521637947
mathematical,0,23,73,7729.972048605642
mathematical,0,23,74,7431.741803323069
mathematical,0,23,75,5789.712331833378
mathematical,0,23,76,4092.8698748926963
mathematical,0,23,77,3804.0888995508994
mathematical,0,23,78,2276.7945848280383
mathematical,0,23,79,803.9327572238061
mathematical,0,23,80,540.0646337693737
mathematical,0,23,81,423.94289804274035
mathematical,0,23,82,352.76188204365394
mathematical,0,23,83,280.3642013303695
mathematical,0,23,84,198.37930322462512
mathematical,0,23,85,136.14207655383694
