mode,regime,prompt_idx,fisher_mean,fisher_std,mean_gate,n_steps,elapsed_s,model
inverted,mathematical,1,301.8824627562527,47.92619462326677,0.5060298160824459,256,69.63,google/gemma-3-4b-it
inverted,mathematical,2,316.12795055054914,55.435180808103894,0.49835393120883964,256,68.59,google/gemma-3-4b-it
inverted,mathematical,3,315.4782442554266,48.09937255945783,0.5192585756449262,256,69.63,google/gemma-3-4b-it
inverted,mathematical,4,307.72462851174515,46.59696775706883,0.4766539748525247,256,70.66,google/gemma-3-4b-it
inverted,mathematical,5,355.5216911058544,59.5211599709477,0.4991214858891908,256,68.28,google/gemma-3-4b-it
inverted,mathematical,6,324.77234517796563,45.28350501978931,0.5104036855482263,256,67.78,google/gemma-3-4b-it
inverted,creative,0,605.961650394802,111.75094228145953,0.4742731085862033,256,67.93,google/gemma-3-4b-it
inverted,creative,1,685.2313316074519,87.50682928155591,0.46737900767766405,256,70.13,google/gemma-3-4b-it
inverted,creative,2,709.0317955890606,205.3423507223406,0.444613691768609,256,69.31,google/gemma-3-4b-it
inverted,creative,3,604.3705151965781,112.46442162565548,0.5073030967614613,256,68.59,google/gemma-3-4b-it
inverted,creative,4,660.308141699839,136.3556356639733,0.4600316116120666,256,70.33,google/gemma-3-4b-it
inverted,creative,5,652.9120546319422,103.48983206214066,0.4827116649976233,256,70.13,google/gemma-3-4b-it
inverted,creative,6,726.362750425966,164.20747639970853,0.45460502583591733,256,71.46,google/gemma-3-4b-it
