step,entropy,fisher_w32,fisher_w64,fisher_w128
482,0.00165213,15964659.932644919,15463860.277091403,7940339.2782579
483,0.01407381,15163022.612826092,14142903.928569019,7806676.186456675
484,0.0015649,14775834.069161743,15623924.158732828,7799755.15929061
485,0.00093366,15101613.307765849,15507176.623444533,7931688.702623073
486,0.00287235,15665166.897933237,15761951.391532093,7921636.965960123
487,0.26142999,15583350.734752042,16756246.20082277,10488204.53045836
488,0.32998859,15214323.431827543,15459340.048214354,10496124.312920256
489,0.00046516,15748271.278559674,20508653.561387803,15637125.87208614
490,0.00874986,15857352.596258515,20481047.744518265,15567769.88795783
491,0.00298803,15119420.247166459,15341320.706541093,15576397.867906902
492,0.00444836,17385246.93966505,16769347.465209065,12973102.240584174
493,0.00362084,14732537.51886747,16751671.002691919,13191688.953161081
494,0.00117416,13848574.641939746,15232205.943486445,13199246.162588159
495,0.00138456,14510624.368713172,14949124.014317408,13370669.612808067
496,0.00289245,13504491.97058642,13534517.111842355,15568582.883611323
497,0.04282887,14400786.98720752,13666715.097879209,13092319.514585298
498,0.00097018,14134271.203269275,16628312.485944308,15647169.913516875
499,0.00458124,14492558.916471452,12984439.888782766,15721157.359275078
500,0.00429717,13608868.95961174,11388788.08735881,13009592.7185283
501,0.00054021,13813328.611173693,12905423.257955128,15614229.342045736
502,0.00131596,13242581.044839412,14300068.062432526,13142410.498225505
503,0.00030282,14462834.532695472,15186425.484699456,13108744.06594691
504,0.00030906,13387135.339759098,12380595.005771648,13069712.452656694
505,0.00026763,13387135.339759098,13019851.090572558,10353480.996122405
506,0.00040559,14699170.642378269,13698459.561285084,10229422.693491433
507,0.00060227,14292082.323746087,12152688.289417624,13042830.679976296
508,0.00034377,15314321.226634815,15279575.219838722,12599628.838618953
509,0.00064691,15916230.78027694,14174650.000438504,12949781.998942874
510,0.0001768,13731237.009452393,17631524.145026043,10246450.385356767
511,0.00133598,13485157.945537655,17529472.78488547,7459122.083222425
