step,entropy,fisher_w32,fisher_w64,fisher_w128
131,0.00203592,15908004.878892656,15825440.725749979,13338640.214235133
132,0.91924531,14918938.39641063,15862741.309926132,13408270.939944156
133,0.02628093,15093847.625570126,15763419.675135782,13399475.944168216
134,0.73206015,15258103.027583595,15878934.456941208,7933855.602978131
135,0.23113809,15910715.301147617,17155273.939436477,7693682.165709434
136,0.00298849,14959919.809723835,18677062.56397662,7935964.040357033
137,0.39987585,14813729.621015709,17263845.720388062,7945890.403236272
138,0.00055668,14771741.378747301,21571525.15925798,7943312.421579548
139,0.04207164,16080524.63577341,17555601.805993866,7958150.070927927
140,0.00182339,16324362.472289145,17254951.417022493,7937993.954179958
141,0.83720836,18249623.676054478,18749185.045718946,7669354.063273901
142,0.02167129,16905461.948995814,19201513.01588038,7944944.05313853
143,0.04725722,16421828.749395197,16936798.280997034,7824828.543554226
144,0.51782374,16503359.691405814,13941288.47380312,7953441.669791855
145,0.68574465,17888915.681831107,14158243.835388592,7958400.981002677
146,0.2072561,17031989.882397376,17555601.48985687,10096191.04397101
