step,entropy,fisher_w32,log_fisher_w32,fisher_w64,log_fisher_w64,fisher_w128,log_fisher_w128
94,0.14462986,349.6098372445565,5.8568177819568845,263.15644860640225,5.572748716939026,,
95,0.81041935,326.8428621015456,5.789479511366997,263.3393330905343,5.573443440421514,,
96,0.2831416,337.16127472967736,5.820561375907747,301.7106782274871,5.709468539066976,,
97,0.0123314,326.1770704408749,5.78744039476982,250.00779437820194,5.521492094889045,,
98,0.28140501,334.82146782221446,5.813597457892414,246.69925380172197,5.508169998811328,,
99,0.00157081,336.72368272491644,5.819262661456784,235.8596209228134,5.463236801447836,,
100,0.11136599,331.65252223782437,5.804087801061972,239.03763953230234,5.476621027114498,,
101,0.00482537,339.84980380383945,5.8285037664902575,236.14665667457166,5.464453038607232,,
102,1.4281165,335.34020045547027,5.8151455402773315,236.2557296188233,5.464914818434576,,
103,0.8405488,322.50214504382745,5.7761097875123975,238.425061429391,5.474055053111544,,
104,0.41763617,364.56109677620134,5.898694155444083,208.9902912045461,5.342287797319045,,
