file,backend,circuit,n_qubits,total_shots,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,2000,50.65557286660347,1008773.7430927644,8.311217238469865,0.02356679348328713
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,4000,49.78203729031518,898473.6693261765,7.922990878595869,0.0218669597054179
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,8000,49.86314521708191,892005.8739345926,8.657761007862016,0.01323610181249478
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,16000,49.34128791974649,854263.1918220426,7.4469350466944215,0.008452076634572188
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,32000,49.22452150774339,838221.5924219077,7.773034979404574,0.0068557317622065335
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,40000,49.142750593145436,836569.074424682,7.509189636472754,0.0017476685343881557
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,1000,10944.481446234806,2.0256006932569654e+17,3564.174364333434,0.0
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,2000,31749.54209976057,4.778300754399445e+19,10563.70639551535,0.003287581781708498
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,4000,81097.60557137684,5.245122580532803e+21,26398.336905774413,0.0002715987374017592
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,8000,97682.20373247963,1.0881456473218658e+22,30101.65500931484,0.0052767002556620935
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,16000,305182.32250523835,3.172725794865569e+24,94888.96820139032,0.00011512968489706171
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,32000,922977.6315623467,9.148461938829077e+26,271788.4432452726,0.0012063620664539243
ibm_torino_identity_10q_40960shots.txt,torino,identity,10,40960,40000,1029024.9020688824,1.6354940323272098e+27,296639.3612000884,2.6596292882850795e-05
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,1000,6071.177801874578,371374278215274.8,1808.5670159983226,0.0
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,2000,15115.322302481332,9568466796426240.0,4594.970021693594,0.021383578387018216
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,4000,36117.93709741703,3.508021848281711e+17,10906.54446114897,0.005988341031955058
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,8000,28232.906475201908,8.750060048648278e+16,8722.865361949174,0.011863346181875527
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,16000,111646.63194853131,2.5189250166623502e+19,35034.55159560647,0.004089812048356486
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,32000,1181509.6515950495,3.669868672780019e+23,375974.8125996619,0.002506683193912435
ibm_torino_identity_20q_40960shots.txt,torino,identity,20,40960,40000,880477.7700889815,1.0789789018160151e+23,267073.444551772,0.0004298080100997373
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,1000,52.25940618902225,1157756.7013633307,9.167156812980298,0.0
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,2000,50.46353239945712,981169.6748802816,8.50124283425929,0.024689876961241444
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,4000,49.7850314809544,890747.4189565199,8.445572944796098,0.01980810264879245
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,8000,49.20259083720041,845556.891503384,7.221934195987309,0.005463872232684718
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,16000,49.157226850934556,835053.5470968876,7.498811428571011,0.0036197510892826768
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,32000,49.25201575205872,842162.7942350955,7.7253526523591365,0.004773220424755169
ibm_torino_layers_10q_40960shots.txt,torino,layers,10,40960,40000,49.356192212867306,853719.3215542217,7.90329836483674,0.006846865631419959
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,1000,50.69503997521545,1002796.9864160223,8.673347719545381,0.0
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,2000,50.65111667739993,964777.7179820933,9.365043469225965,0.027939897785351202
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,4000,49.54847238424962,880019.1835491499,7.811535697451577,0.020384564625414468
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,8000,49.47202857327485,868969.2917989932,7.731629178944458,0.009380236094970454
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,16000,49.43926838589691,851850.4477692376,8.111376639776848,0.006888360515267069
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,32000,49.20665061304027,842411.0052908463,7.441610614816172,0.0035637527078299113
ibm_torino_layers_20q_40960shots.txt,torino,layers,20,40960,40000,49.47493744896438,854439.8309368842,7.803156061213404,0.008062904430667737
