file,q_label,topology,epsilon,ln_epsilon,N_star_epsilon,exp_tau,exp_A
20q_readout_raw_data.txt,20q,2D_Block,0.001,-6.907755278982137,31235.971244336146,30572.900483575635,0.002777880387302
20q_readout_raw_data.txt,20q,2D_Block,0.01,-4.605170185988091,,30572.900483575635,0.002777880387302
30q_readout_raw_data.txt,30q,2D_Block,1e-08,-18.420680743952367,266780.720457851,21028.122945188723,0.0032346744388685
30q_readout_raw_data.txt,30q,2D_Block,1e-06,-13.815510557964274,169942.63560337576,21028.122945188723,0.0032346744388685
30q_readout_raw_data.txt,30q,2D_Block,0.0001,-9.210340371976182,73104.55074890054,21028.122945188723,0.0032346744388685
30q_readout_raw_data.txt,30q,2D_Block,0.001,-6.907755278982137,24685.508321662954,21028.122945188723,0.0032346744388685
30q_readout_raw_data.txt,30q,2D_Block,0.01,-4.605170185988091,,21028.122945188723,0.0032346744388685
34q_readout_raw_data.txt,34q,2D_Block,1e-08,-18.420680743952367,221581.9832487329,17501.296431762967,0.0031517700244773
34q_readout_raw_data.txt,34q,2D_Block,1e-06,-13.815510557964274,140985.53470503827,17501.296431762967,0.0031517700244773
34q_readout_raw_data.txt,34q,2D_Block,0.0001,-9.210340371976182,60389.08616134371,17501.296431762967,0.0031517700244773
34q_readout_raw_data.txt,34q,2D_Block,0.001,-6.907755278982137,20090.861889496427,17501.296431762967,0.0031517700244773
34q_readout_raw_data.txt,34q,2D_Block,0.01,-4.605170185988091,,17501.296431762967,0.0031517700244773
39q_readout_raw_data.txt,39q,2D_Block,1e-08,-18.420680743952367,264828.0208769627,20961.3126774084,0.0030685586246635
39q_readout_raw_data.txt,39q,2D_Block,1e-06,-13.815510557964274,168297.60867578728,20961.3126774084,0.0030685586246635
39q_readout_raw_data.txt,39q,2D_Block,0.0001,-9.210340371976182,71767.19647461186,20961.3126774084,0.0030685586246635
39q_readout_raw_data.txt,39q,2D_Block,0.001,-6.907755278982137,23501.99037402418,20961.3126774084,0.0030685586246635
39q_readout_raw_data.txt,39q,2D_Block,0.01,-4.605170185988091,,20961.3126774084,0.0030685586246635
40q_readout_raw_data.txt,40q,2D_Block,1e-08,-18.420680743952367,218367.78517530055,17052.55746102911,0.0036424205973249
40q_readout_raw_data.txt,40q,2D_Block,1e-06,-13.815510557964274,139837.85596092045,17052.55746102911,0.0036424205973249
40q_readout_raw_data.txt,40q,2D_Block,0.0001,-9.210340371976182,61307.92674654039,17052.55746102911,0.0036424205973249
40q_readout_raw_data.txt,40q,2D_Block,0.001,-6.907755278982137,22042.96213935038,17052.55746102911,0.0036424205973249
40q_readout_raw_data.txt,40q,2D_Block,0.01,-4.605170185988091,,17052.55746102911,0.0036424205973249
41q_readout_raw_data.txt,41q,2D_Block,1e-08,-18.420680743952367,189529.77394313947,14771.884751343618,0.0037341270064424
41q_readout_raw_data.txt,41q,2D_Block,1e-06,-13.815510557964274,121502.73069539969,14771.884751343618,0.0037341270064424
41q_readout_raw_data.txt,41q,2D_Block,0.0001,-9.210340371976182,53475.68744765993,14771.884751343618,0.0037341270064424
41q_readout_raw_data.txt,41q,2D_Block,0.001,-6.907755278982137,19462.16582379007,14771.884751343618,0.0037341270064424
41q_readout_raw_data.txt,41q,2D_Block,0.01,-4.605170185988091,,14771.884751343618,0.0037341270064424
42q_readout_raw_data.txt,42q,2D_Block,1e-08,-18.420680743952367,283727.59197824716,22408.020936089822,0.0031548815701568
42q_readout_raw_data.txt,42q,2D_Block,1e-06,-13.815510557964274,180534.84203636931,22408.020936089822,0.0031548815701568
42q_readout_raw_data.txt,42q,2D_Block,0.0001,-9.210340371976182,77342.0920944915,22408.020936089822,0.0031548815701568
42q_readout_raw_data.txt,42q,2D_Block,0.001,-6.907755278982137,25745.717123552604,22408.020936089822,0.0031548815701568
42q_readout_raw_data.txt,42q,2D_Block,0.01,-4.605170185988091,,22408.020936089822,0.0031548815701568
43q_readout_raw_data.txt,43q,2D_Block,1e-08,-18.420680743952367,257274.2050251745,20285.778188054337,0.0032205940088936
43q_readout_raw_data.txt,43q,2D_Block,1e-06,-13.815510557964274,163854.7441139791,20285.778188054337,0.0032205940088936
43q_readout_raw_data.txt,43q,2D_Block,0.0001,-9.210340371976182,70435.28320278373,20285.778188054337,0.0032205940088936
43q_readout_raw_data.txt,43q,2D_Block,0.001,-6.907755278982137,23725.55274718606,20285.778188054337,0.0032205940088936
43q_readout_raw_data.txt,43q,2D_Block,0.01,-4.605170185988091,,20285.778188054337,0.0032205940088936
44q_readout_raw_data.txt,44q,2D_Block,1e-08,-18.420680743952367,310991.7825682295,24691.71657517877,0.0029507484013926
44q_readout_raw_data.txt,44q,2D_Block,1e-06,-13.815510557964274,197282.22555534818,24691.71657517877,0.0029507484013926
44q_readout_raw_data.txt,44q,2D_Block,0.0001,-9.210340371976182,83572.66854246691,24691.71657517877,0.0029507484013926
44q_readout_raw_data.txt,44q,2D_Block,0.001,-6.907755278982137,26717.890036026307,24691.71657517877,0.0029507484013926
44q_readout_raw_data.txt,44q,2D_Block,0.01,-4.605170185988091,,24691.71657517877,0.0029507484013926
45q_readout_raw_data.txt,45q,2D_Block,1e-08,-18.420680743952367,346288.23049868795,27740.968470060445,0.0026379243722737
45q_readout_raw_data.txt,45q,2D_Block,1e-06,-13.815510557964274,218536.34956992985,27740.968470060445,0.0026379243722737
45q_readout_raw_data.txt,45q,2D_Block,0.0001,-9.210340371976182,90784.4686411718,27740.968470060445,0.0026379243722737
45q_readout_raw_data.txt,45q,2D_Block,0.001,-6.907755278982137,26908.5281767928,27740.968470060445,0.0026379243722737
45q_readout_raw_data.txt,45q,2D_Block,0.01,-4.605170185988091,,27740.968470060445,0.0026379243722737
50q_readout_raw_data.txt,50q,2D_Block,1e-08,-18.420680743952367,225237.05305321695,17735.60820900016,0.0032765235379761
50q_readout_raw_data.txt,50q,2D_Block,1e-06,-13.815510557964274,143561.55889876373,17735.60820900016,0.0032765235379761
50q_readout_raw_data.txt,50q,2D_Block,0.0001,-9.210340371976182,61886.064744310555,17735.60820900016,0.0032765235379761
50q_readout_raw_data.txt,50q,2D_Block,0.001,-6.907755278982137,21048.31766708398,17735.60820900016,0.0032765235379761
50q_readout_raw_data.txt,50q,2D_Block,0.01,-4.605170185988091,,17735.60820900016,0.0032765235379761
26q_readout_raw_data.txt,26q,Bulk_Full,1e-08,-18.420680743952367,337407.5877142317,26810.24564394356,0.0029215042593199
26q_readout_raw_data.txt,26q,Bulk_Full,1e-06,-13.815510557964274,213941.84379572567,26810.24564394356,0.0029215042593199
26q_readout_raw_data.txt,26q,Bulk_Full,0.0001,-9.210340371976182,90476.09987721969,26810.24564394356,0.0029215042593199
26q_readout_raw_data.txt,26q,Bulk_Full,0.001,-6.907755278982137,28743.227917966717,26810.24564394356,0.0029215042593199
26q_readout_raw_data.txt,26q,Bulk_Full,0.01,-4.605170185988091,,26810.24564394356,0.0029215042593199
36q_readout_raw_data.txt,36q,Bulk_Full,1e-08,-18.420680743952367,235051.21876723476,18279.020577442378,0.0038425848598139
36q_readout_raw_data.txt,36q,Bulk_Full,1e-06,-13.815510557964274,150873.21817493427,18279.020577442378,0.0038425848598139
36q_readout_raw_data.txt,36q,Bulk_Full,0.0001,-9.210340371976182,66695.21758263379,18279.020577442378,0.0038425848598139
36q_readout_raw_data.txt,36q,Bulk_Full,0.001,-6.907755278982137,24606.21728648357,18279.020577442378,0.0038425848598139
36q_readout_raw_data.txt,36q,Bulk_Full,0.01,-4.605170185988091,,18279.020577442378,0.0038425848598139
38q_readout_raw_data.txt,38q,Bulk_Full,1e-08,-18.420680743952367,282994.5373959674,22464.92118567102,0.0029572188875882
38q_readout_raw_data.txt,38q,Bulk_Full,1e-06,-13.815510557964274,179539.7521211429,22464.92118567102,0.0029572188875882
38q_readout_raw_data.txt,38q,Bulk_Full,0.0001,-9.210340371976182,76084.96684631846,22464.92118567102,0.0029572188875882
38q_readout_raw_data.txt,38q,Bulk_Full,0.001,-6.907755278982137,24357.574208906262,22464.92118567102,0.0029572188875882
38q_readout_raw_data.txt,38q,Bulk_Full,0.01,-4.605170185988091,,22464.92118567102,0.0029572188875882
