file,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
12q_readout_raw_data.txt,2D_Block,3000,285556.98538809153,1.6639189507268142e+18,98817.48606302754,0.04077845752558098,1.3797193545667823,1.3558767121726023
12q_readout_raw_data.txt,2D_Block,4000,1630233.5002001093,3.7108052738492295e+20,787448.8334198368,0.9747051102626009,1.3777910494848782,1.3406307441441532
12q_readout_raw_data.txt,2D_Block,5000,5679650.413601739,3.2985445769490106e+22,2040695.956424957,2.05272599896763,1.336652795816262,1.4238772043119323
12q_readout_raw_data.txt,2D_Block,6000,28107039.502405364,8.842390875207055e+20,14180838.116238505,0.7489435605886151,1.1057844802905303,1.6366122305808006
12q_readout_raw_data.txt,2D_Block,7000,9273358.730818115,4.1264763492186957e+18,4744587.012346712,2.1321922667028117,1.397170354608076,1.2552300137574934
12q_readout_raw_data.txt,2D_Block,8000,34403959.97705105,1.195025372729509e+20,17267686.264499195,0.9517763581009905,1.4098736630390545,1.347561582015458
12q_readout_raw_data.txt,2D_Block,9000,334.2713644482536,3170062547.1022897,166.53023359197596,0.39529146252233166,1.2343071015295184,1.4591319832840721
12q_readout_raw_data.txt,2D_Block,10000,1825676654.5510836,9.588786670681545e+19,1825587722.978706,2.256548566721722,1.1513220754350564,1.4859608148181622
12q_readout_raw_data.txt,2D_Block,15000,26512.515553391026,36057620719.02207,26437.280814532765,1.231296210127852,1.7156316081540115,1.0343534529170142
12q_readout_raw_data.txt,2D_Block,20000,76808.679529742,1.614474675246934e+22,28417.891353431838,2.3847535823007293,1.2570214823261663,1.427209904340968
12q_readout_raw_data.txt,2D_Block,30000,57871.94937036542,387356539021694.94,55038.34962735122,1.2616910072472585,1.049935082402281,1.478437288802952
12q_readout_raw_data.txt,2D_Block,40000,565.2541291631248,200677494070.9372,242.62673805660287,2.1471289674188476,1.2871093073101076,1.2827787830999569
26q_readout_raw_data.txt,Bulk_Full,500,141602.2304228396,1346172617129202.8,78577.84598125846,0.0,1.4007551420561108,1.2416743211378172
26q_readout_raw_data.txt,Bulk_Full,1000,16159.042608228472,4328429204995.526,8149.15424431717,0.21119410432813532,1.4742357156847803,1.117260663253236
26q_readout_raw_data.txt,Bulk_Full,2000,59828.500936633245,10374434518751.348,30355.815982240492,0.07800560583769153,1.5410026272997632,1.047018539729389
26q_readout_raw_data.txt,Bulk_Full,3000,249408.63816805492,168606908013296.12,127033.13016555025,0.03610339385609074,1.5367921664049515,1.0563583538780685
26q_readout_raw_data.txt,Bulk_Full,4000,73476.25599947527,8239667241205290.0,67861.6014583916,0.8652017425159805,1.566094248990861,1.1894482624664895
26q_readout_raw_data.txt,Bulk_Full,5000,972175.1242081103,9.193849421706142e+16,951110.7395732023,0.6850241807682551,1.4871330748419742,1.1555777813839134
26q_readout_raw_data.txt,Bulk_Full,6000,19205662.943830814,1.4307789009100887e+18,19201101.27410924,3.4041169094136308,1.5292770772866906,1.2241736722462497
26q_readout_raw_data.txt,Bulk_Full,7000,15947.520141766152,2460775951471.201,13780.051431391495,0.6721506083118499,1.5087935907854824,1.1026710504610964
26q_readout_raw_data.txt,Bulk_Full,8000,7287.033366587481,2.2989727865896298e+17,3052.426196992354,1.9216326535250055,1.3978169245232641,1.295956078691939
26q_readout_raw_data.txt,Bulk_Full,9000,5208.570479553124,6242852122289.695,2457.739597352798,0.5275639654731329,1.4484079078057372,1.1119139074619206
26q_readout_raw_data.txt,Bulk_Full,10000,33046.38429868868,4825573633285439.0,17186.666504825633,0.5615379309815264,1.3487684008616114,1.2800431282394569
