file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
16q_readout_raw_data.txt,16q,2D_Block,1000,44343.52842646205,1.2821908715372908e+23,11688.54516696059,0.07183742875504044,1.6554129450594723,1.437812671164025
16q_readout_raw_data.txt,16q,2D_Block,2000,84553.19565411322,1.798395698937309e+24,24385.2422582413,0.016504220504492653,1.654794384914686,1.4463769186785005
16q_readout_raw_data.txt,16q,2D_Block,3000,1110822.8097979,9.639378348081194e+29,316962.1693666799,0.010735161198480787,1.6005287310385319,1.5402911907536716
16q_readout_raw_data.txt,16q,2D_Block,4000,3904243.6772786705,6.310268048371959e+30,1063898.111916473,0.9131810274845095,1.7364085393665563,1.4066558529848725
16q_readout_raw_data.txt,16q,2D_Block,5000,4448800.145803815,2.29032432452112e+28,1763225.2625461873,3.017697116150915,1.7174035896052142,1.283512515894202
16q_readout_raw_data.txt,16q,2D_Block,6000,29070890.196972333,4.94569444582887e+34,8436067.023622584,3.1645331575746565,1.6045425259088548,1.5214664395591129
16q_readout_raw_data.txt,16q,2D_Block,7000,3361671.1846459284,8.238622374158595e+27,1805849.3203212107,1.599238017673218,1.5871841413168846,1.38120391368063
16q_readout_raw_data.txt,16q,2D_Block,8000,39092172.55774013,3.6450213185945105e+27,19757078.234407436,2.3071033789561253,1.4641111242925435,1.6480542635273159
16q_readout_raw_data.txt,16q,2D_Block,9000,118809991.60913634,2.9716242386879788e+23,118800383.34319058,0.1516716965577738,1.5917424132480233,1.436184372870128
16q_readout_raw_data.txt,16q,2D_Block,10000,1410618312.9714386,2.841421466539665e+30,712082134.3183565,1.6373661625988953,1.2940214506498937,1.6810666659339528
16q_readout_raw_data.txt,16q,2D_Block,15000,9107953066.59044,6.981011164857223e+29,4818381411.9835615,6.469620868927025,1.4657628979839687,1.5841781858898523
16q_readout_raw_data.txt,16q,2D_Block,20000,112156.14997085316,7.170658143957287e+28,63932.61804155975,2.313016510752623,1.376136882180192,1.5549846697098666
16q_readout_raw_data.txt,16q,2D_Block,30000,3097.432443320041,8.785577518230744e+16,1363.2639788822285,1.444583897676352,1.334438573065284,1.5510131952275161
16q_readout_raw_data.txt,16q,2D_Block,40000,15317.011611290343,1.0088984535612344e+27,6480.233221430979,2.403339851920608,1.2680170673591202,1.553400420741045
18q_readout_raw_data.txt,18q,1D_Snake,500,31415.762513367914,1.8005429816016013e+21,8627.833137518519,0.0,1.5394177137384606,1.526755459363363
18q_readout_raw_data.txt,18q,1D_Snake,1000,79633.01354153907,9.237754441176007e+21,21512.925869130424,0.12653640644500014,1.635161922555488,1.370330937712046
18q_readout_raw_data.txt,18q,1D_Snake,2000,245737.55265861345,2.1096051046153004e+23,68405.24912891808,0.08811306494537896,1.699953718789169,1.2771648965893112
18q_readout_raw_data.txt,18q,1D_Snake,3000,1052113.6661082187,1.0522546293298642e+26,303993.2327819368,0.02447986021642079,1.6732949714082848,1.3341679952235264
18q_readout_raw_data.txt,18q,1D_Snake,4000,345693.75681701046,3.2385114977065637e+22,217090.87594436813,1.0548420075575848,1.6898969913956805,1.4034670984293838
18q_readout_raw_data.txt,18q,1D_Snake,5000,3436780.477045262,6.315102611033841e+27,1297776.6436271188,1.32332922191722,1.6728692470807056,1.428158467127862
18q_readout_raw_data.txt,18q,1D_Snake,6000,12297479.466336597,1.6927705369944158e+27,5803401.206442745,0.5142940087228829,1.6629689321999037,1.3309199010976036
