row_index,file,q_label,topology,n_points
220,39q_readout_raw_data.txt,39q,2D_Block,10000
221,39q_readout_raw_data.txt,39q,2D_Block,15000
222,39q_readout_raw_data.txt,39q,2D_Block,20000
223,39q_readout_raw_data.txt,39q,2D_Block,30000
224,39q_readout_raw_data.txt,39q,2D_Block,40000
225,40q_readout_raw_data.txt,40q,2D_Block,500
226,40q_readout_raw_data.txt,40q,2D_Block,1000
227,40q_readout_raw_data.txt,40q,2D_Block,2000
228,40q_readout_raw_data.txt,40q,2D_Block,3000
229,40q_readout_raw_data.txt,40q,2D_Block,4000
230,40q_readout_raw_data.txt,40q,2D_Block,5000
231,40q_readout_raw_data.txt,40q,2D_Block,6000
232,40q_readout_raw_data.txt,40q,2D_Block,7000
233,40q_readout_raw_data.txt,40q,2D_Block,8000
234,40q_readout_raw_data.txt,40q,2D_Block,9000
235,40q_readout_raw_data.txt,40q,2D_Block,10000
236,40q_readout_raw_data.txt,40q,2D_Block,15000
237,40q_readout_raw_data.txt,40q,2D_Block,20000
238,40q_readout_raw_data.txt,40q,2D_Block,30000
239,40q_readout_raw_data.txt,40q,2D_Block,40000
240,41q_readout_raw_data.txt,41q,2D_Block,500
241,41q_readout_raw_data.txt,41q,2D_Block,1000
242,41q_readout_raw_data.txt,41q,2D_Block,2000
243,41q_readout_raw_data.txt,41q,2D_Block,3000
244,41q_readout_raw_data.txt,41q,2D_Block,4000
245,41q_readout_raw_data.txt,41q,2D_Block,5000
246,41q_readout_raw_data.txt,41q,2D_Block,6000
247,41q_readout_raw_data.txt,41q,2D_Block,7000
248,41q_readout_raw_data.txt,41q,2D_Block,8000
249,41q_readout_raw_data.txt,41q,2D_Block,9000
250,41q_readout_raw_data.txt,41q,2D_Block,10000
251,41q_readout_raw_data.txt,41q,2D_Block,15000
252,41q_readout_raw_data.txt,41q,2D_Block,20000
253,41q_readout_raw_data.txt,41q,2D_Block,30000
254,41q_readout_raw_data.txt,41q,2D_Block,40000
255,42q_readout_raw_data.txt,42q,2D_Block,500
256,42q_readout_raw_data.txt,42q,2D_Block,1000
257,42q_readout_raw_data.txt,42q,2D_Block,2000
