file,q_label,topology,qubits,n_min_filter,status,n_points_used,exp_v_inf,exp_A,exp_tau,exp_rmse,exp_aic,pow_v_inf,pow_a,pow_b,pow_rmse,pow_aic,preferred_model,delta_aic,N_star_grammar,ratio_tau_over_N_star,ratio_tau_over_N_foti_anchor,N_foti_anchor,A_times_tau,alphabet_k,invariant_k_kminus1_pi_half,ratio_A_tau_over_invariant
24q_readout_raw_data.txt,24q,2D_Block,24,500.0,ok,14,0.0002809376208886136,0.004553402934926856,9447.809712552327,0.0015517246394166039,-175.11487228852513,0.0003011303851472353,0.7522960737230103,0.6944609564028115,0.0013715562181002435,-178.5706592295115,pow,3.4557869409863713,750.0,12.597079616736437,1.180976214069041,8000.0,43.019684473766226,7,65.97344572538566,0.6520757556431959
30q_readout_raw_data.txt,30q,2D_Block,30,500.0,ok,14,1.6081800065036383e-19,0.003234674438868554,21028.122945188723,0.000946767498233586,-188.9487962500562,1.7145477273476785e-09,0.022306823112088505,0.27039970992618706,0.00108605624974932,-185.10566337694846,exp,3.8431328731077485,12500.0,1.6822498356150979,2.6285153681485904,8000.0,68.0191317881873,7,65.97344572538566,1.0310077189437217
34q_readout_raw_data.txt,34q,2D_Block,34,500.0,ok,14,7.92474865239966e-14,0.0031517700244773506,17501.296431762967,0.0011162846553912623,-184.336982639785,1.3671520555978574e-14,0.043161404465009795,0.358013579117276,0.0011745295206220326,-182.91285334745444,exp,1.424129292330548,5500.0,3.1820538966841756,2.187662053970371,8000.0,55.16006148312294,7,65.97344572538566,0.8360948996468456
39q_readout_raw_data.txt,39q,2D_Block,39,500.0,ok,14,2.415057685148268e-18,0.003068558624663507,20961.3126774084,0.0009496661350232233,-188.86320201476065,1.6699080305185655e-17,0.0238387965452064,0.28413514290376307,0.0010545468080108032,-185.9300367658938,exp,2.9331652488668567,3500.0,5.9889464792595435,2.62016408467605,8000.0,64.32101680053006,7,65.97344572538566,0.9749531208096386
40q_readout_raw_data.txt,40q,2D_Block,40,500.0,ok,14,5.245789475681508e-15,0.0036424205973249494,17052.55746102911,0.0008514183436763698,-191.9209948658035,3.857753094785351e-16,0.03858197472621996,0.32882450424315646,0.0009960819748257464,-187.5270679922875,exp,4.393926873515994,7500.0,2.273674328137215,2.1315696826286388,8000.0,62.11258653311968,7,65.97344572538566,0.941478588092294
41q_readout_raw_data.txt,41q,2D_Block,41,500.0,ok,14,4.2918341226284887e-19,0.003734127006442479,14771.884751343618,0.0009686144016596415,-188.31003086807618,7.13617494577496e-16,0.08563273491947662,0.4263570185033739,0.0009806351288145464,-187.96468295659295,exp,0.3453479114832305,3500.0,4.220538500383891,1.8464855939179523,8000.0,55.16009378604805,7,65.97344572538566,0.8360953892821035
42q_readout_raw_data.txt,42q,2D_Block,42,500.0,ok,14,1.8519916441549005e-19,0.0031548815701568033,22408.020936089822,0.0009184079878177806,-189.80032737720038,1.0424862503522232e-15,0.018631431470522982,0.24993308494787003,0.0010616025663964905,-185.74331840914488,exp,4.057008968055499,8500.0,2.636237757187038,2.801002617011228,8000.0,70.69465227495758,7,65.97344572538566,1.0715622247354477
43q_readout_raw_data.txt,43q,2D_Block,43,500.0,ok,14,1.381209169006311e-15,0.0032205940088936473,20285.778188054337,0.0009745160026421413,-188.139949297391,1.2239256605260473e-15,0.02549580008197424,0.2877021304467465,0.0010924439694229876,-184.94146172861417,exp,3.198487568776841,12500.0,1.622862255044347,2.535722273506792,8000.0,65.33225569819322,7,65.97344572538566,0.9902810893058187
44q_readout_raw_data.txt,44q,2D_Block,44,500.0,ok,14,3.909872737625535e-18,0.0029507484013926452,24691.71657517877,0.0010292150675289585,-186.61084745347347,1.0763133274437748e-15,0.01789355888814674,0.2493733152291682,0.0011257376322855231,-184.10086998119806,exp,2.509977472275409,3500.0,7.054776164336791,3.0864645718973462,8000.0,72.85904321184903,7,65.97344572538566,1.1043692262963596
45q_readout_raw_data.txt,45q,2D_Block,45,500.0,ok,14,1.1528834213869958e-16,0.0026379243722737884,27740.968470060445,0.0008885772038174751,-190.72489261136434,8.188761545929034e-15,0.011322241749710426,0.20560664413505142,0.0009961898999751833,-187.52403436597834,exp,3.2008582453860015,17500.0,1.5851981982891683,3.4676210587575556,8000.0,73.17857683765115,7,65.97344572538566,1.109212593537358
50q_readout_raw_data.txt,50q,2D_Block,50,500.0,ok,14,5.332972907892048e-16,0.0032765235379761393,17735.60820900016,0.0010727287230844922,-185.4513907118928,1.9584061806923344e-15,0.05509890352351389,0.3812987040418805,0.00109479635326168,-184.88123352945706,exp,0.5701571824357359,17500.0,1.0134633262285804,2.21695102612502,8000.0,58.111137757111855,7,65.97344572538566,0.880826173594136
26q_readout_raw_data.txt,26q,Bulk_Full,26,500.0,ok,14,3.0847296257802295e-21,0.002921504259319999,26810.24564394356,0.0010051196620187858,-187.2741629804612,2.834644568422064e-16,0.012189077937454603,0.20367105591085122,0.0011350169680994211,-183.87101499220924,exp,3.403147988251959,6500.0,4.124653175991317,3.351280705492945,8000.0,78.32624684219657,7,65.97344572538566,1.1872389865496706
36q_readout_raw_data.txt,36q,Bulk_Full,36,500.0,ok,14,2.9228414863943816e-15,0.0038425848598139067,18279.020577442378,0.0010285769862702736,-186.6282119639281,2.9044223794925237e-18,0.04842577696412738,0.3464701073135741,0.0011311171666134466,-183.96738576543794,exp,2.660826198490156,3500.0,5.222577307840679,2.284877572180297,8000.0,70.23868772310693,7,65.97344572538566,1.064650890230523
38q_readout_raw_data.txt,38q,Bulk_Full,38,500.0,ok,14,8.725701015133459e-18,0.002957218887588278,22464.92118567102,0.0009254648557520351,-189.58600319796227,1.2528914193154276e-18,0.02203017105809735,0.2768011094687368,0.0010267938535296537,-186.67679466082774,exp,2.909208537134532,4500.0,4.992204707926893,2.8081151482088775,8000.0,66.4336892384484,7,65.97344572538566,1.006976193345706
46q_readout_raw_data.txt,46q,Bulk_Full,46,500.0,ok,14,0.00026020843398138035,0.004140736026078329,10969.624548763895,0.00132694041413231,-179.4966239652053,0.0003200535261282573,0.4185314760345394,0.6262606647708763,0.001191563393183308,-182.50969363303545,pow,3.013069667830166,3500.0,3.1341784425039703,1.371203068595487,8000.0,45.422319561619894,7,65.97344572538566,0.688493969993476
48q_readout_raw_data.txt,48q,Bulk_Full,48,500.0,ok,14,2.672584568275231e-17,0.003015737528799684,21016.18652720747,0.0008575903583217166,-191.71875228950685,1.348688625980463e-15,0.023386595936005238,0.2839030366404938,0.0009713174504387891,-188.23200192627075,exp,3.486750363236098,9500.0,2.212230160758681,2.6270233159009337,8000.0,63.37930242235386,7,65.97344572538566,0.9606789781175002
51q_readout_raw_data.txt,51q,Bulk_Full,51,500.0,ok,14,5.333252981907345e-16,0.0031224063974675262,20326.391666372954,0.0009867585903649261,-187.7903838568195,1.3916317814738325e-15,0.034565252218652004,0.3267267079903362,0.0010528437311628906,-185.97529288832231,exp,1.8150909684971737,7500.0,2.710185555516394,2.540798958296619,8000.0,63.46725537651352,7,65.97344572538566,0.9620121350140759
53q_readout_raw_data.txt,53q,Bulk_Full,53,500.0,ok,14,7.361908090317471e-18,0.003822189527174101,13803.926469746113,0.0009583825429843064,-188.6073792745108,5.22768907249402e-14,0.0983295149010148,0.4434155732675079,0.0009664656991680979,-188.37221299114623,exp,0.23516628336457757,3500.0,3.9439789913560324,1.725490808718264,8000.0,52.76122318654495,7,65.97344572538566,0.7997342355917477
