data_source,file,q_label,topology,n_points,ricci_ambient,log_det_fisher,fisher_speed_dn
measured,24q_readout_raw_data.txt,24q,2D_Block,20000,,351.43512170534405,0.0009707226676203234
measured,24q_readout_raw_data.txt,24q,2D_Block,30000,,266.1254917459205,0.00040442524898402825
measured,24q_readout_raw_data.txt,24q,2D_Block,40000,,272.9451177843035,0.0003406882400698681
measured,26q_readout_raw_data.txt,26q,Bulk_Full,500,,621.7418827517287,
measured,26q_readout_raw_data.txt,26q,Bulk_Full,1000,,798.100849040858,0.00749672453335487
measured,26q_readout_raw_data.txt,26q,Bulk_Full,2000,,826.8664426653214,0.0014796824718042816
measured,26q_readout_raw_data.txt,26q,Bulk_Full,3000,,839.4985873573588,0.0009988793841623203
measured,26q_readout_raw_data.txt,26q,Bulk_Full,4000,,1127.231123399527,0.0032496635647832404
measured,26q_readout_raw_data.txt,26q,Bulk_Full,5000,,1002.427628817404,0.0033871177031917863
measured,26q_readout_raw_data.txt,26q,Bulk_Full,6000,,1015.414920370713,0.00416698258448178
measured,26q_readout_raw_data.txt,26q,Bulk_Full,7000,,750.8836198539897,0.002996719070942606
measured,26q_readout_raw_data.txt,26q,Bulk_Full,8000,,970.539578225284,0.004401197484054657
measured,26q_readout_raw_data.txt,26q,Bulk_Full,9000,,922.9865727989622,0.003874926766682078
measured,26q_readout_raw_data.txt,26q,Bulk_Full,10000,,787.7175423982031,0.002370402336479548
measured,26q_readout_raw_data.txt,26q,Bulk_Full,15000,,903.2147927558669,0.000993937051081142
measured,26q_readout_raw_data.txt,26q,Bulk_Full,20000,,594.2233775027795,0.0009748037993456076
measured,26q_readout_raw_data.txt,26q,Bulk_Full,30000,,273.22761167073014,0.0004311564870194787
measured,26q_readout_raw_data.txt,26q,Bulk_Full,40000,,326.6484222670634,0.0003464719236891308
measured,28q_readout_raw_data.txt,28q,1D_Snake,500,,682.1828703009649,
measured,28q_readout_raw_data.txt,28q,1D_Snake,1000,,787.558702990145,0.0053900858171678605
measured,28q_readout_raw_data.txt,28q,1D_Snake,2000,,826.880697763644,0.0014989389658227388
measured,28q_readout_raw_data.txt,28q,1D_Snake,3000,,841.5252281438308,0.0013349993343133523
measured,28q_readout_raw_data.txt,28q,1D_Snake,4000,,1137.418334663756,0.004163589884868118
measured,28q_readout_raw_data.txt,28q,1D_Snake,5000,,1033.67247554116,0.002365477408703708
measured,28q_readout_raw_data.txt,28q,1D_Snake,6000,,1020.8482956277062,0.002869328927902223
measured,28q_readout_raw_data.txt,28q,1D_Snake,7000,,705.5230210995202,0.0025937726182229917
measured,28q_readout_raw_data.txt,28q,1D_Snake,8000,,965.5535074248529,0.0038198206322173664
measured,28q_readout_raw_data.txt,28q,1D_Snake,9000,,1004.0430941155655,0.004037466026238526
measured,28q_readout_raw_data.txt,28q,1D_Snake,10000,,588.8148747628805,0.004363159297483679
measured,28q_readout_raw_data.txt,28q,1D_Snake,15000,,898.3682343127622,0.0009842776754838216
measured,28q_readout_raw_data.txt,28q,1D_Snake,20000,,600.9888074089936,0.0008341743737704697
measured,28q_readout_raw_data.txt,28q,1D_Snake,30000,,402.81946334392126,0.00045403710555842026
measured,28q_readout_raw_data.txt,28q,1D_Snake,40000,,294.770768059437,0.0004066901393891556
measured,30q_readout_raw_data.txt,30q,2D_Block,500,,629.5710361673622,
measured,30q_readout_raw_data.txt,30q,2D_Block,1000,,453.6963701952906,0.005912736581549889
measured,30q_readout_raw_data.txt,30q,2D_Block,2000,,425.3840497192953,0.0021731308675658526
measured,30q_readout_raw_data.txt,30q,2D_Block,3000,,428.2462355398059,0.001598586609652602
measured,30q_readout_raw_data.txt,30q,2D_Block,4000,,1058.0448915793722,0.004563930752842513
measured,30q_readout_raw_data.txt,30q,2D_Block,5000,,907.0114877736994,0.0024053520828030187
measured,30q_readout_raw_data.txt,30q,2D_Block,6000,,803.9245171271405,0.001906695494960289
measured,30q_readout_raw_data.txt,30q,2D_Block,7000,,748.2171819209252,0.003647962631589694
measured,30q_readout_raw_data.txt,30q,2D_Block,8000,,958.3489048353081,0.0042827148460253895
measured,30q_readout_raw_data.txt,30q,2D_Block,9000,,919.3731481589871,0.0021972541469738815
measured,30q_readout_raw_data.txt,30q,2D_Block,10000,,635.261253487897,0.0032310840209081324
measured,30q_readout_raw_data.txt,30q,2D_Block,15000,,429.32254983581623,0.0009499772276336266
measured,30q_readout_raw_data.txt,30q,2D_Block,20000,,594.37406961534,0.0008768291658982308
measured,30q_readout_raw_data.txt,30q,2D_Block,30000,,390.37172878028366,0.00042925127430513743
measured,30q_readout_raw_data.txt,30q,2D_Block,40000,,299.0562518252955,0.00038235001602097713
measured,32q_readout_raw_data.txt,32q,1D_Snake,500,,647.2142297892864,
measured,32q_readout_raw_data.txt,32q,1D_Snake,1000,,631.0075059550886,0.0046910243726246605
measured,32q_readout_raw_data.txt,32q,1D_Snake,2000,,426.07630651420124,0.003799078796741738
measured,32q_readout_raw_data.txt,32q,1D_Snake,3000,,653.7242202492388,0.003542153463756937
measured,32q_readout_raw_data.txt,32q,1D_Snake,4000,,1102.893329777459,0.004359828245673596
measured,32q_readout_raw_data.txt,32q,1D_Snake,5000,,972.3570720029248,0.002247916744254778
measured,32q_readout_raw_data.txt,32q,1D_Snake,6000,,963.580262819701,0.002239070426682672
measured,32q_readout_raw_data.txt,32q,1D_Snake,7000,,791.000063070245,0.0015579014382883973
measured,32q_readout_raw_data.txt,32q,1D_Snake,8000,,741.1375054272248,0.003942193197937539
measured,32q_readout_raw_data.txt,32q,1D_Snake,9000,,766.507124351312,0.002537405145442938
measured,32q_readout_raw_data.txt,32q,1D_Snake,10000,,619.0243068226235,0.0031632032092442017
measured,32q_readout_raw_data.txt,32q,1D_Snake,15000,,548.4301447423867,0.0008764091702952733
measured,32q_readout_raw_data.txt,32q,1D_Snake,20000,,623.1831998441929,0.0008804991599724076
measured,32q_readout_raw_data.txt,32q,1D_Snake,30000,,350.01768976239794,0.0004996433598213641
measured,32q_readout_raw_data.txt,32q,1D_Snake,40000,,308.5111423620488,0.0004293550524085044
measured,34q_readout_raw_data.txt,34q,2D_Block,500,,451.1924038707304,
measured,34q_readout_raw_data.txt,34q,2D_Block,1000,,482.79443457536763,0.005866481278034071
measured,34q_readout_raw_data.txt,34q,2D_Block,2000,,625.4270950653997,0.0027963119138343013
measured,34q_readout_raw_data.txt,34q,2D_Block,3000,,645.3058417685952,0.0011675471172866165
measured,34q_readout_raw_data.txt,34q,2D_Block,4000,,1113.6458114334534,0.00427495903673288
measured,34q_readout_raw_data.txt,34q,2D_Block,5000,,744.582882412226,0.0034739960468406017
measured,34q_readout_raw_data.txt,34q,2D_Block,6000,,736.8038134933403,0.0030268301171417437
measured,34q_readout_raw_data.txt,34q,2D_Block,7000,,572.457199296647,0.0035504676391448953
measured,34q_readout_raw_data.txt,34q,2D_Block,8000,,1078.7003326373674,0.004971867449981298
measured,34q_readout_raw_data.txt,34q,2D_Block,9000,,933.0972043272747,0.0018495243768984254
measured,34q_readout_raw_data.txt,34q,2D_Block,10000,,892.5208658059875,0.0012876724019484447
measured,34q_readout_raw_data.txt,34q,2D_Block,15000,,934.6526915575663,0.0007921793718953285
measured,34q_readout_raw_data.txt,34q,2D_Block,20000,,606.2688612378864,0.0008920076723458856
measured,34q_readout_raw_data.txt,34q,2D_Block,30000,,430.71568510574684,0.0003388658969501301
measured,34q_readout_raw_data.txt,34q,2D_Block,40000,,309.60834843079107,0.0004116435852172672
measured,36q_readout_raw_data.txt,36q,Bulk_Full,500,,490.2608307268865,
measured,36q_readout_raw_data.txt,36q,Bulk_Full,1000,,450.7923731103089,0.004524335509627044
measured,36q_readout_raw_data.txt,36q,Bulk_Full,2000,,420.26823221818165,0.002194407542929822
measured,36q_readout_raw_data.txt,36q,Bulk_Full,3000,,427.98910731881966,0.0012096141889375337
measured,36q_readout_raw_data.txt,36q,Bulk_Full,4000,,1073.4429957730551,0.004507047161249471
measured,36q_readout_raw_data.txt,36q,Bulk_Full,5000,,1158.5135400777992,0.0035265086319874843
measured,36q_readout_raw_data.txt,36q,Bulk_Full,6000,,621.5764973854108,0.0035933084321208
measured,36q_readout_raw_data.txt,36q,Bulk_Full,7000,,792.5176914212745,0.004072342529635769
measured,36q_readout_raw_data.txt,36q,Bulk_Full,8000,,1114.8022412091434,0.004115176277280261
measured,36q_readout_raw_data.txt,36q,Bulk_Full,9000,,794.7240725342268,0.0029195725272658157
measured,36q_readout_raw_data.txt,36q,Bulk_Full,10000,,736.195011582449,0.0033349294681257993
measured,36q_readout_raw_data.txt,36q,Bulk_Full,15000,,776.8810372226711,0.0008217206396611098
measured,36q_readout_raw_data.txt,36q,Bulk_Full,20000,,461.6121744157213,0.0009906718872386981
measured,36q_readout_raw_data.txt,36q,Bulk_Full,30000,,275.3445504721355,0.0004289859729479153
measured,36q_readout_raw_data.txt,36q,Bulk_Full,40000,,281.64361877169017,0.00033103160779595004
measured,38q_readout_raw_data.txt,38q,Bulk_Full,500,,684.3724616431589,
measured,38q_readout_raw_data.txt,38q,Bulk_Full,1000,,804.6668181168482,0.005705827190189015
measured,38q_readout_raw_data.txt,38q,Bulk_Full,2000,,818.6972996411092,0.0013795295681495515
measured,38q_readout_raw_data.txt,38q,Bulk_Full,3000,,831.8830872249675,0.0008128928404886524
