file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
36q_readout_raw_data.txt,36q,Bulk_Full,40000,1202.2660904126378,82705580400846.66,533.3424256857264,0.7284397631568529,1.1508478265334683,1.4253452863873504
38q_readout_raw_data.txt,38q,Bulk_Full,500,6766.085992122725,94161071943.26997,6564.093883495245,0.0,1.475476934283655,1.0640500991776947
38q_readout_raw_data.txt,38q,Bulk_Full,1000,17212.650725454456,66355617980.39873,17008.226533648933,0.4099519328924895,1.5094454925512721,1.0103995262817425
38q_readout_raw_data.txt,38q,Bulk_Full,2000,139104.55390633873,2910634709901.755,137887.31324263278,0.4107178893695705,1.480538150100484,1.0214189465048162
38q_readout_raw_data.txt,38q,Bulk_Full,3000,276905.16076631134,569649546360.6948,276615.648748021,0.11325203624871746,1.5274258117293589,0.9566834381075696
38q_readout_raw_data.txt,38q,Bulk_Full,4000,3432.5659752317642,809328013609799.8,1104.5102014265224,1.1585610345211812,1.5063062536086742,1.15440078352832
38q_readout_raw_data.txt,38q,Bulk_Full,5000,479335.83428523556,1292421530341921.2,475843.9193931967,0.6218518944740818,1.5478469738608311,1.0993851277380704
38q_readout_raw_data.txt,38q,Bulk_Full,6000,9675.212839817521,212858178366.92883,8711.373053788122,0.24302976255594874,1.6173160378698195,0.8894034614355483
38q_readout_raw_data.txt,38q,Bulk_Full,7000,6253.551325495827,158282742830.38162,4130.82547232483,0.2591060055445656,1.555142717143524,1.0523866339967292
38q_readout_raw_data.txt,38q,Bulk_Full,8000,10087.507226683349,510531870172746.0,4191.763168297755,1.2667079860933568,1.4157188971901047,1.3220796787871292
38q_readout_raw_data.txt,38q,Bulk_Full,9000,4299.005699490785,1789399042655.1863,3344.287149321665,0.6928685419175821,1.4598888087441744,1.2562165562426273
38q_readout_raw_data.txt,38q,Bulk_Full,10000,4293.349616571665,12479850036909.951,3503.971274434633,0.9276633854050552,1.2470317566597484,1.3100663395425904
38q_readout_raw_data.txt,38q,Bulk_Full,15000,1971.5305649948464,6814920187592.736,1374.943782521942,1.461555010375168,1.5246206213350644,1.129858874487044
38q_readout_raw_data.txt,38q,Bulk_Full,20000,537.2537759302215,280889334220.47046,185.14332931040772,1.4647247900714373,1.2329417411389758,1.2487030565775563
