subject,regime,channel,condition,rep,K,sfreq,n_samples,val_loss,perplexity,wall_seconds
26,arithmetic,Fp2,aaft,0,7,100.0,6200,1.3602601484360777,3.8972070222425104,36.987231731414795
26,arithmetic,F3,aaft,0,7,100.0,6200,1.4203055527867274,4.138384742076575,37.646400928497314
26,arithmetic,F4,aaft,0,7,100.0,6200,1.4639069038296144,4.322815403818357,37.708049058914185
26,arithmetic,F7,aaft,0,7,100.0,6200,1.3327443420846168,3.791434115395475,37.10302472114563
26,arithmetic,F8,aaft,0,7,100.0,6200,1.3003005933080347,3.6703997994314386,37.37622284889221
26,arithmetic,T3,aaft,0,7,100.0,6200,1.4692695618415774,4.34605945371856,37.35104966163635
26,arithmetic,T4,aaft,0,7,100.0,6200,1.4083517190472368,4.089209679746985,36.93570160865784
26,arithmetic,C3,aaft,0,7,100.0,6200,1.3645251087056989,3.913863950674891,37.60305142402649
26,arithmetic,C4,aaft,0,7,100.0,6200,1.3675882566609614,3.925871075443974,37.77487778663635
26,arithmetic,T5,aaft,0,7,100.0,6200,1.4612808655692944,4.311478417370774,37.58056592941284
26,arithmetic,T6,aaft,0,7,100.0,6200,1.4774997463197315,4.381975921617927,37.14647555351257
26,arithmetic,P3,aaft,0,7,100.0,6200,1.395333796042437,4.03632165598892,37.224119901657104
26,arithmetic,P4,aaft,0,7,100.0,6200,1.5293311200807191,4.6150888494163125,37.07549285888672
26,arithmetic,O1,aaft,0,7,100.0,6200,1.3393015245597424,3.8163769286501465,37.24924349784851
26,arithmetic,O2,aaft,0,7,100.0,6200,1.358271152118214,3.889463195599607,37.25723838806152
26,arithmetic,Fz,aaft,0,7,100.0,6200,1.3713328300967902,3.9405993463217404,38.15648341178894
26,arithmetic,Cz,aaft,0,7,100.0,6200,1.416123056665847,4.121112110483013,37.10713982582092
26,arithmetic,Pz,aaft,0,7,100.0,6200,1.4728916517472845,4.361829815387735,37.384140968322754
27,rest,Fp1,aaft,0,7,100.0,18200,1.4031542820848004,4.068011406275036,108.99384140968323
27,rest,Fp2,aaft,0,7,100.0,18200,1.6357626366646796,5.133371401828946,110.06430387496948
27,rest,F3,aaft,0,7,100.0,18200,1.4155292619201227,4.118665742157478,109.19946002960205
27,rest,F4,aaft,0,7,100.0,18200,1.4694539079380404,4.346860706665507,109.59802556037903
27,rest,F7,aaft,0,7,100.0,18200,1.457659033898692,4.295891212446819,109.80273962020874
27,rest,F8,aaft,0,7,100.0,18200,1.6416126083690936,5.163489488362762,109.87622237205505
