regime,prompt,layer,t,F
creative,6,1,92,68.96670193825999
creative,6,1,93,69.10870859699864
creative,6,1,94,69.02051156566989
creative,6,1,95,70.34095278093892
creative,6,1,96,70.38289611570296
creative,6,1,97,70.462616151379
creative,6,1,98,71.19822932827857
creative,6,1,99,70.93789199090773
creative,6,1,100,70.4551959499236
creative,6,1,101,68.82962965196178
creative,6,1,102,67.14474591901225
creative,6,1,103,65.82363479368148
creative,6,1,104,65.0905307031447
creative,6,1,105,62.00673091027044
creative,6,1,106,57.541792162003055
creative,6,1,107,54.16274809068249
creative,6,1,108,53.20287956730012
creative,6,1,109,52.631681811425
creative,6,1,110,51.13564362064485
creative,6,1,111,50.58775895641696
creative,6,1,112,50.865053238407256
creative,6,1,113,51.925583993234945
creative,6,1,114,52.92473171603295
creative,6,1,115,55.31096390754946
creative,6,1,116,57.65230117305632
creative,6,1,117,57.73049065374559
creative,6,1,118,58.07127872590096
creative,6,1,119,61.00771270259734
creative,6,1,120,63.428392964024695
creative,6,1,121,63.51404300812752
creative,6,1,122,65.23833600936398
creative,6,1,123,68.47297754595357
creative,6,1,124,68.41870892432428
creative,6,1,125,67.11945822931105
creative,6,1,126,63.96188943616806
creative,6,2,0,94.12744140625
creative,6,2,1,89.72993469238281
creative,6,2,2,96.14585622151692
creative,6,2,3,96.16276550292969
creative,6,2,4,100.05016632080078
creative,6,2,5,108.14770634969075
creative,6,2,6,105.13277435302734
creative,6,2,7,100.67539691925049
creative,6,2,8,103.36430358886719
creative,6,2,9,107.8906036376953
creative,6,2,10,104.30369984019886
creative,6,2,11,101.13149770100911
creative,6,2,12,97.23925194373497
creative,6,2,13,95.52169363839286
creative,6,2,14,93.39854736328125
creative,6,2,15,98.86360359191895
creative,6,2,16,104.85363679773667
creative,6,2,17,108.3608864678277
creative,6,2,18,107.83690121299342
creative,6,2,19,105.28048191070556
creative,6,2,20,105.31868180774507
creative,6,2,21,105.6778604334051
creative,6,2,22,106.0048428411069
creative,6,2,23,107.84432967503865
creative,6,2,24,107.56070419311523
creative,6,2,25,105.94200706481934
creative,6,2,26,105.83430466828523
creative,6,2,27,106.49826553889683
creative,6,2,28,106.70374863723228
creative,6,2,29,107.01953722635905
creative,6,2,30,109.48890427620181
creative,6,2,31,108.97462598739132
creative,6,2,32,108.49675959925497
creative,6,2,33,107.95010339060137
creative,6,2,34,109.20634743475145
creative,6,2,35,108.09380155994046
creative,6,2,36,105.73059783443328
creative,6,2,37,104.61805971207157
creative,6,2,38,103.94490863430885
creative,6,2,39,103.0726783506332
creative,6,2,40,103.69791166244015
creative,6,2,41,104.07412744337513
creative,6,2,42,103.11045529765468
creative,6,2,43,104.84890907041488
creative,6,2,44,104.74206530663275
creative,6,2,45,104.02974319458008
creative,6,2,46,101.72376263526178
creative,6,2,47,97.85259136076897
creative,6,2,48,95.27862265802199
creative,6,2,49,94.54744634320659
creative,6,2,50,95.47173752323273
creative,6,2,51,94.88805635513798
creative,6,2,52,94.06839653753465
creative,6,2,53,93.0380625570974
creative,6,2,54,89.26205825805664
creative,6,2,55,87.62992145169166
creative,6,2,56,86.81248006513042
creative,6,2,57,86.48899472144342
creative,6,2,58,88.20333517751386
creative,6,2,59,88.56890869140625
creative,6,2,60,89.02052134852255
creative,6,2,61,84.92016257009199
creative,6,2,62,84.90779384489983
creative,6,2,63,85.03020600349673
creative,6,2,64,84.21859765821888
creative,6,2,65,81.68719383978075
creative,6,2,66,80.85510376961001
creative,6,2,67,79.93068288987682
creative,6,2,68,79.60030364990234
creative,6,2,69,80.81785485052293
creative,6,2,70,80.14099391814202
creative,6,2,71,77.90631423457977
creative,6,2,72,79.92601333125945
creative,6,2,73,83.23781474944084
creative,6,2,74,88.68029822072675
creative,6,2,75,94.96401153072235
creative,6,2,76,98.21041882422662
creative,6,2,77,96.86480848250851
creative,6,2,78,96.54956460768177
creative,6,2,79,96.38215698734406
creative,6,2,80,95.7114862011325
creative,6,2,81,94.0652705777076
creative,6,2,82,92.27364681613061
creative,6,2,83,91.63135565480879
creative,6,2,84,90.75022912794545
creative,6,2,85,91.87136065575385
creative,6,2,86,92.6368910266507
creative,6,2,87,92.35456189801616
creative,6,2,88,91.43353523746613
creative,6,2,89,87.21938157850697
creative,6,2,90,84.51680749462497
creative,6,2,91,81.3186216662007
creative,6,2,92,81.68085793525943
creative,6,2,93,83.78136339495259
creative,6,2,94,83.89910414911085
creative,6,2,95,84.81418111247402
creative,6,2,96,85.17648899939752
creative,6,2,97,85.4939161116077
creative,6,2,98,86.42769432067871
creative,6,2,99,86.33356038985714
creative,6,2,100,85.95128933075935
creative,6,2,101,84.16616187557098
creative,6,2,102,82.37172914320423
creative,6,2,103,79.51567292982533
creative,6,2,104,78.07001538430491
creative,6,2,105,71.92495672164425
creative,6,2,106,66.95615306977302
creative,6,2,107,65.7115891364313
creative,6,2,108,64.91505056811917
creative,6,2,109,63.79346939825243
creative,6,2,110,62.1728709436232
creative,6,2,111,61.81237811426963
creative,6,2,112,62.23371905665244
creative,6,2,113,63.4670357857981
creative,6,2,114,63.60772354372086
creative,6,2,115,65.8245901907644
creative,6,2,116,67.56955577481177
creative,6,2,117,67.32420281440982
creative,6,2,118,67.8791750015751
creative,6,2,119,70.12983236005229
creative,6,2,120,72.80017852783203
creative,6,2,121,73.37690796390656
creative,6,2,122,74.95449644519437
creative,6,2,123,76.47378823064989
creative,6,2,124,74.14814007666803
creative,6,2,125,72.86594649284116
creative,6,2,126,70.04398224430699
creative,6,3,0,120.90750122070312
creative,6,3,1,118.79927062988281
creative,6,3,2,126.22568257649739
creative,6,3,3,123.63247108459473
creative,6,3,4,124.36559295654297
creative,6,3,5,168.97739537556967
creative,6,3,6,200.196410042899
creative,6,3,7,187.3775234222412
creative,6,3,8,182.78467814127603
creative,6,3,9,178.48602600097655
creative,6,3,10,168.7544500177557
creative,6,3,11,161.66790517171225
creative,6,3,12,154.7082754281851
creative,6,3,13,150.2156094142369
creative,6,3,14,144.3375681559245
creative,6,3,15,158.80651187896729
creative,6,3,16,180.472240672392
creative,6,3,17,183.5613513522678
creative,6,3,18,180.93931740208677
creative,6,3,19,176.61114578247071
creative,6,3,20,175.4445546468099
creative,6,3,21,172.69884005459872
creative,6,3,22,171.54782303519872
creative,6,3,23,171.79900232950845
creative,6,3,24,170.6939306640625
creative,6,3,25,166.44861015906702
creative,6,3,26,165.17523815013743
creative,6,3,27,165.12802287510462
creative,6,3,28,165.16321169096847
creative,6,3,29,164.2362045288086
creative,6,3,30,163.78678647933467
creative,6,3,31,162.21258348034274
creative,6,3,32,161.32345581054688
creative,6,3,33,160.8782429848948
creative,6,3,34,162.1417703936177
creative,6,3,35,161.0004368443643
creative,6,3,36,150.48714520854335
creative,6,3,37,139.9823980023784
creative,6,3,38,139.43021220545614
creative,6,3,39,138.04491941390498
creative,6,3,40,138.8945573376071
creative,6,3,41,139.4465848861202
creative,6,3,42,138.14498667563163
creative,6,3,43,140.71719766432238
creative,6,3,44,142.23396338185955
creative,6,3,45,141.50496144448556
creative,6,3,46,133.5498183465773
creative,6,3,47,119.89458404048797
creative,6,3,48,116.18373120215631
creative,6,3,49,115.63083045713363
creative,6,3,50,118.95186061243857
creative,6,3,51,120.4455173861596
creative,6,3,52,120.5781145403462
creative,6,3,53,119.00471804218907
creative,6,3,54,114.51092455464024
creative,6,3,55,111.95985068044355
creative,6,3,56,111.68387173068139
creative,6,3,57,111.09409639912266
creative,6,3,58,111.8690578091529
creative,6,3,59,110.69196184219852
creative,6,3,60,111.17294249996063
creative,6,3,61,108.00257221344978
creative,6,3,62,108.4478158027895
creative,6,3,63,108.36487443985477
creative,6,3,64,106.73417380548292
creative,6,3,65,103.95505412932366
creative,6,3,66,103.3836786823888
creative,6,3,67,102.42572882867628
creative,6,3,68,101.91290012482673
creative,6,3,69,101.97000417401713
creative,6,3,70,101.20857386435232
creative,6,3,71,99.17451329385081
creative,6,3,72,99.4457764164094
creative,6,3,73,102.54220494916362
creative,6,3,74,108.09603451144311
creative,6,3,75,111.41623084775863
creative,6,3,76,114.81452880367156
creative,6,3,77,113.34013108284243
creative,6,3,78,111.81063830467963
creative,6,3,79,110.82946568150675
creative,6,3,80,109.0122659744755
creative,6,3,81,104.09611462008569
creative,6,3,82,99.57709958476406
creative,6,3,83,97.14640242053616
creative,6,3,84,95.51702487084174
creative,6,3,85,96.8973264386577
creative,6,3,86,97.14035317205614
creative,6,3,87,97.09603623420962
creative,6,3,88,95.27048960039693
creative,6,3,89,91.60740932341545
creative,6,3,90,89.18252428116337
creative,6,3,91,85.65470775481194
creative,6,3,92,86.26044673304403
creative,6,3,93,87.20812385312972
creative,6,3,94,87.62888717651367
creative,6,3,95,88.09561046477288
creative,6,3,96,88.10075489167244
creative,6,3,97,88.10376677974578
creative,6,3,98,89.3402616439327
creative,6,3,99,88.81333615702968
creative,6,3,100,88.27251618908298
creative,6,3,101,86.36189977584347
creative,6,3,102,84.58150672912598
creative,6,3,103,83.14166019808862
creative,6,3,104,81.88083999387679
creative,6,3,105,74.25804513500583
creative,6,3,106,70.0345292245188
creative,6,3,107,68.41123353281328
creative,6,3,108,67.10167921743086
creative,6,3,109,66.82165570412913
creative,6,3,110,65.28625408295662
creative,6,3,111,64.90594463963663
creative,6,3,112,65.2920459008986
creative,6,3,113,66.0648145983296
creative,6,3,114,67.17029356187389
creative,6,3,115,69.49244597650343
creative,6,3,116,70.3541801821801
creative,6,3,117,70.06832608868999
creative,6,3,118,69.50116883554766
creative,6,3,119,72.64043617248535
creative,6,3,120,74.403901561614
creative,6,3,121,74.00908667041409
creative,6,3,122,75.52374249119913
creative,6,3,123,78.25111764477145
creative,6,3,124,78.41979420569635
creative,6,3,125,76.8326612287952
creative,6,3,126,74.22021785859138
creative,6,4,0,113.08524322509766
creative,6,4,1,114.19841003417969
creative,6,4,2,126.73182169596355
creative,6,4,3,126.956298828125
creative,6,4,4,188.2436767578125
creative,6,4,5,362.9039713541667
creative,6,4,6,404.0446079799107
creative,6,4,7,371.3275833129883
creative,6,4,8,378.2233140733507
creative,6,4,9,360.7089385986328
creative,6,4,10,337.3059345592152
creative,6,4,11,318.6397018432617
creative,6,4,12,299.9113493699294
creative,6,4,13,286.8729466029576
creative,6,4,14,272.2273681640625
creative,6,4,15,268.9829168319702
creative,6,4,16,261.08992901970356
creative,6,4,17,255.76235707600912
creative,6,4,18,255.13763347424958
creative,6,4,19,284.3554374694824
creative,6,4,20,282.2042890276228
creative,6,4,21,275.1464063471014
creative,6,4,22,269.13558263364047
creative,6,4,23,265.6313428878784
creative,6,4,24,261.054983215332
creative,6,4,25,255.30611096895657
creative,6,4,26,250.4880178946036
creative,6,4,27,249.79175458635603
creative,6,4,28,247.42232487119477
creative,6,4,29,243.88180033365884
creative,6,4,30,240.77453121062248
creative,6,4,31,239.57801745014805
creative,6,4,32,239.48139116840977
creative,6,4,33,240.28481120447958
creative,6,4,34,243.28670034100932
creative,6,4,35,233.86514922111266
creative,6,4,36,199.9899621778919
creative,6,4,37,181.15801017515122
creative,6,4,38,179.1651414440524
creative,6,4,39,169.86712744928175
creative,6,4,40,169.20544975034653
creative,6,4,41,168.93660416141634
creative,6,4,42,166.9549736515168
creative,6,4,43,178.3010112393287
creative,6,4,44,185.15742037373204
creative,6,4,45,184.73269345683437
creative,6,4,46,181.93113056305916
creative,6,4,47,179.93597252138198
creative,6,4,48,177.95796265140658
creative,6,4,49,173.45036746609597
creative,6,4,50,151.67581213674237
creative,6,4,51,148.93175961894374
creative,6,4,52,147.93694637667747
creative,6,4,53,146.52924753004504
creative,6,4,54,144.8387331808767
creative,6,4,55,143.21766847179782
creative,6,4,56,141.8309908220845
creative,6,4,57,142.66869957216323
creative,6,4,58,142.74453919933688
creative,6,4,59,141.34982287499213
creative,6,4,60,143.75643957814862
creative,6,4,61,140.61270473849387
creative,6,4,62,141.5761596925797
creative,6,4,63,141.45336975589876
creative,6,4,64,138.3845600005119
creative,6,4,65,133.87988564275926
creative,6,4,66,133.3101448551301
creative,6,4,67,131.68774623255575
creative,6,4,68,131.4468253351027
creative,6,4,69,131.7765170681861
creative,6,4,70,129.73495311121786
creative,6,4,71,127.5680640435988
creative,6,4,72,127.95344666511782
creative,6,4,73,131.69103548603672
creative,6,4,74,129.27688537105436
creative,6,4,75,126.52519558322045
creative,6,4,76,129.77841617215066
creative,6,4,77,128.56291826309698
creative,6,4,78,129.25205119963616
creative,6,4,79,129.0199150577668
creative,6,4,80,127.50120359851468
creative,6,4,81,124.43964324458953
creative,6,4,82,122.19453368648406
creative,6,4,83,120.4714974434145
creative,6,4,84,118.94493275303995
creative,6,4,85,117.51168847853138
creative,6,4,86,116.76613346222908
creative,6,4,87,116.04427485312185
creative,6,4,88,113.07639275827715
creative,6,4,89,107.95172894385553
creative,6,4,90,105.40456328853485
creative,6,4,91,99.71201090658865
creative,6,4,92,100.41102883123583
creative,6,4,93,105.6340461238738
creative,6,4,94,108.19428043980753
creative,6,4,95,108.55449221211094
creative,6,4,96,108.64402709468719
creative,6,4,97,107.36115990915606
creative,6,4,98,106.20405197143555
creative,6,4,99,106.00705214469663
creative,6,4,100,104.87392216344034
creative,6,4,101,102.7906986359627
creative,6,4,102,100.6354008336221
creative,6,4,103,98.97212416125882
creative,6,4,104,96.41507327172064
creative,6,4,105,88.01253361855784
creative,6,4,106,84.07577785368889
creative,6,4,107,82.19590537778792
creative,6,4,108,80.44120185605941
creative,6,4,109,78.88935987411007
creative,6,4,110,77.2372798304404
creative,6,4,111,76.74249341410976
creative,6,4,112,75.88961324384135
creative,6,4,113,76.05750446934854
creative,6,4,114,77.22193121141002
creative,6,4,115,78.9115818392846
creative,6,4,116,79.14873615387947
creative,6,4,117,78.72364844045332
creative,6,4,118,78.38571511545489
creative,6,4,119,81.51481616112494
creative,6,4,120,83.5251818010884
creative,6,4,121,83.0177643068375
creative,6,4,122,84.85422011344663
creative,6,4,123,89.11471520700762
creative,6,4,124,87.98770941457441
creative,6,4,125,84.40330000846616
creative,6,4,126,81.73972049836189
creative,6,5,0,165.21994018554688
creative,6,5,1,149.6578826904297
creative,6,5,2,176.9764658610026
creative,6,5,3,186.7483901977539
creative,6,5,4,307.4572326660156
creative,6,5,5,353.2300974527995
creative,6,5,6,350.1279035295759
creative,6,5,7,340.7978401184082
creative,6,5,8,379.40556165907117
creative,6,5,9,391.75505981445315
creative,6,5,10,365.5519984852184
creative,6,5,11,344.6530164082845
creative,6,5,12,335.3184685340294
creative,6,5,13,320.0121525355748
creative,6,5,14,327.74078165690105
creative,6,5,15,320.9705295562744
creative,6,5,16,337.30525297277114
creative,6,5,17,332.4534267849392
creative,6,5,18,335.9510160747327
creative,6,5,19,383.13965301513673
creative,6,5,20,406.60628981817337
creative,6,5,21,397.7324246493253
creative,6,5,22,385.9952807219132
creative,6,5,23,380.84877427419025
creative,6,5,24,373.3342868041992
creative,6,5,25,366.8886574965257
creative,6,5,26,406.85103776719836
creative,6,5,27,454.641195842198
creative,6,5,28,452.0484363950532
creative,6,5,29,450.54152806599933
creative,6,5,30,441.7401410994991
creative,6,5,31,442.0205656482327
creative,6,5,32,447.11470351680634
creative,6,5,33,444.0572098762758
creative,6,5,34,446.8935150638703
creative,6,5,35,435.1139435306672
creative,6,5,36,470.6607181179908
creative,6,5,37,484.0886936803018
creative,6,5,38,478.8984884446667
creative,6,5,39,464.0069872948431
creative,6,5,40,454.64339447021484
creative,6,5,41,455.7542621243385
creative,6,5,42,456.45230471703314
creative,6,5,43,471.37958428167525
creative,6,5,44,487.52209103492
creative,6,5,45,474.8915608313776
creative,6,5,46,473.9986332308861
creative,6,5,47,461.1406320141208
creative,6,5,48,457.16213263234783
creative,6,5,49,453.4597223343388
creative,6,5,50,419.13560005926314
creative,6,5,51,405.54858558408677
creative,6,5,52,454.0864697117959
creative,6,5,53,491.58828378492785
creative,6,5,54,487.3813445798812
creative,6,5,55,486.56609307566
creative,6,5,56,497.2049027719805
creative,6,5,57,505.5498892261136
creative,6,5,58,458.5600279531171
creative,6,5,59,453.9254434647099
creative,6,5,60,449.5181765402517
creative,6,5,61,445.7936221707252
creative,6,5,62,445.67888789023124
creative,6,5,63,442.06846544819496
creative,6,5,64,442.7902096163842
creative,6,5,65,442.06400052962766
creative,6,5,66,437.58409290928995
creative,6,5,67,385.18572776548325
creative,6,5,68,364.8590710547663
creative,6,5,69,382.6601958736297
creative,6,5,70,390.10256687287364
creative,6,5,71,387.4998053273847
